sub2	tbasej2	lap1_32	lap1_33	cur1_32	cur1_33	rp2431	rp3445
		0.128433	0.118393	0.0167207	0.0170451		
		0.128872	0.118395	0.0159681	0.0197575		
		0.129322	0.118396	0.0150723	0.018823		
		0.129783	0.118396	0.0164643	0.015237		
		0.130257	0.118395	0.0164352	0.0190209		
		0.130744	0.118396	0.0137732	0.0182274		
		0.131241	0.118394	0.0158215	0.0166864		
		0.131751	0.118395	0.0140003	0.0157335		
		0.132274	0.118399	0.0133221	0.0155227		
		0.132811	0.118402	0.0152139	0.018784		
		0.133362	0.118405	0.0149643	0.0169783		
		0.133926	0.118409	0.0138967	0.017526		
		0.134504	0.118411	0.014806	0.0171463		
		0.135096	0.118415	0.0153016	0.0178265		
		0.135702	0.118419	0.0150623	0.018316		
		0.136322	0.118424	0.0142171	0.0156998		
		0.136956	0.118427	0.0113294	0.0172261		
		0.137604	0.118431	0.0149174	0.0188496		
		0.138268	0.118436	0.0154241	0.0191701		
		0.138945	0.118439	0.0144044	0.0163326		
		0.139637	0.118442	0.0141468	0.0175195		
		0.140341	0.118445	0.0147353	0.0158045		
		0.141059	0.118448	0.0144726	0.0159645		
		0.141789	0.118451	0.0141775	0.0170473		
		0.142536	0.118454	0.0135723	0.0166528		
		0.143295	0.118455	0.0146589	0.0173078		
		0.144069	0.118455	0.0163777	0.0183228		
		0.144859	0.118454	0.0178812	0.016304		
		0.145663	0.118451	0.0150743	0.0185491		
		0.14648	0.118449	0.0160801	0.0147726		
		0.147312	0.118447	0.0132289	0.0176734		
		0.148159	0.118445	0.0132016	0.0174729		
		0.14902	0.118442	0.0186331	0.0201743		
		0.149894	0.118439	0.0164971	0.0183195		
		0.150783	0.118437	0.0150768	0.0171297		
		0.151684	0.118433	0.0135252	0.016832		
		0.152598	0.118429	0.0151486	0.0177719		
		0.153524	0.118424	0.0156507	0.0190671		
		0.154464	0.118419	0.0160584	0.0186916		
		0.155418	0.118413	0.0145207	0.0172916		
		0.156388	0.118407	0.0159707	0.0156972		
		0.157372	0.1184	0.0138349	0.0178397		
		0.158368	0.11839	0.0126176	0.0205163		
		0.159377	0.118382	0.0131975	0.0167906		
		0.160398	0.118374	0.0145665	0.0195146		
		0.161432	0.118365	0.0140765	0.0171492		
		0.162478	0.118357	0.014388	0.0163522		
		0.163533	0.118348	0.0154441	0.0161158		
		0.164601	0.11834	0.0175474	0.0168363		
		0.165679	0.118331	0.0158237	0.0162221		
		0.166766	0.118322	0.0153393	0.0156177		
		0.167865	0.11831	0.0142195	0.0186802		
