sub1	tbasej	rp25b	rp610	rp56	jlap1_5	cur1_5
					0.0278338	0.015052
					0.0436785	0.0146847
					0.0401025	0.0126935
					0.0340836	0.0133675
					0.0328923	0.012848
					0.0317436	0.0130607
					0.0316751	0.0152386
					0.0325186	0.0133093
					0.0230934	0.0121317
					0.0415064	0.0139813
					0.0420441	0.0138018
					0.031744	0.0158636
					0.0340436	0.0134032
					0.0403281	0.0124385
					0.0386656	0.0140576
					0.0387637	0.0132526
					0.0433311	0.0133369
					0.0212891	0.013258
					0.0322987	0.0131009
					0.0466172	0.0142273
					0.0482427	0.0152062
					0.0424091	0.0154844
					0.0349641	0.0138808
					0.027812	0.0121784
					0.0390957	0.0166561
					0.0316852	0.0133184
					0.0364356	0.0157944
					0.033018	0.0136543
					0.0350986	0.0144108
					0.0334427	0.0155169
					0.0319976	0.0162778
					0.0391577	0.0149978
					0.0293223	0.0161821
					0.0392988	0.0128843
					0.0336008	0.0146583
					0.0308998	0.0129204
					0.0295372	0.0151036
					0.028382	0.0151322
					0.0278579	0.0146856
					0.0366508	0.0156572
					0.0423541	0.0126943
					0.0377947	0.0155409
					0.0282181	0.0153438
					0.0550971	0.0127269
					0.0157783	0.0130982
					0.031526	0.0146477
					0.0275037	0.0151205
					0.0247505	0.0131283
					0.0260261	0.015944
					0.0302117	0.0136234
					0.0248744	0.0158759
					0.0303392	0.0145227
					0.0358974	0.0153667
					0.0283064	0.0142471
					0.0428771	0.013192
					0.0373632	0.0154423
					0.0351985	0.0133657
					0.0359437	0.0151972
					0.0343461	0.0150229
					0.0364568	0.0161591
					0.0333169	0.0139312
					0.0290518	0.0139343
					0.0134388	0.0143995
					0.0367413	0.01503
					0.0360579	0.0135336
					0.0256824	0.0122521
					0.0354412	0.0154444
					0.0275418	0.0117669
					0.0309209	0.0123923
					0.0336236	0.0135662
					0.0382436	0.0159989
					0.0299132	0.0125719
					0.0288361	0.0122566
					0.0363604	0.0136961
					0.035252	0.0152594
					0.026334	0.015002
					0.036837	0.0153183
					0.0366881	0.0145755
					0.0320354	0.0136638
					0.0440657	0.0144181
					0.0336641	0.013672
					0.0395815	0.0143185
					0.0270811	0.0140381
					0.0401182	0.0150491
					0.0400873	0.0146815
					0.0363713	0.0106659
					0.0454275	0.0142862
					0.0491088	0.0147725
					0.0271884	0.0145473
					0.0486368	0.0132646
					0.0378824	0.0142217
					0.0374327	0.0151096
					0.0445111	0.0145416
					0.0333635	0.0148156
					0.0586207	0.0129731
					0.0638492	0.0138962
					0.0639381	0.0136643
					0.06495	0.0138499
					0.0624056	0.0132676
					0.0618999	0.0129595
					0.0647111	0.0127174
					0.0613517	0.0129895
					0.0613355	0.0156535
					0.0591434	0.015242
					0.0610699	0.0130862
					0.0647863	0.0107312
					0.0661568	0.0115056
					0.0683229	0.0130477
					0.0699219	0.0130166
					0.0668616	0.0141339
					0.0731313	0.0140839
					0.0704352	0.0164
					0.0704918	0.0149102
					0.0765918	0.0140442
					0.0757141	0.0129669
					0.0719137	0.0164976
					0.070322	0.0147842
					0.0663347	0.0143771
					0.0699675	0.0147165
					0.0743646	0.0144689
					0.0747148	0.0144973
					0.0816475	0.0143306
					0.0779167	0.0152308
					0.0755933	0.0153732
					0.0778841	0.0139043
					0.0823024	0.0129213
					0.0837889	0.0133726
					0.0760328	0.0139799
					0.0834789	0.0137833
					0.0861442	0.0146722
					0.0761807	0.0159296
					0.0950105	0.0132929
					0.0945833	0.0149587
					0.0817787	0.0133177
					0.0869291	0.0136624
					0.0947364	0.0137062
					0.0852185	0.0150488
					0.0916318	0.0131699
					0.0910419	0.015734
					0.0920605	0.0155251
					0.0804514	0.012501
					0.0878126	0.016141
					0.0868522	0.0141961
					0.0872529	0.0141352
					0.0921844	0.0148589
					0.0848886	0.0156963
					0.0940638	0.0152665
					0.0870556	0.0149779
					0.0834274	0.0122506
					0.0840075	0.0155919
					0.0879534	0.0156336
					0.0921768	0.0146156
					0.0839676	0.0160767
					0.0799514	0.015131
					0.0950564	0.0135781
					0.0981738	0.0144387
					0.104989	0.015862
					0.102799	0.0140005
					0.108249	0.012958
					0.108713	0.0126265
					0.111561	0.0149984
					0.105381	0.0137266
					0.104821	0.0126923
					0.100792	0.0148779
					0.0971881	0.0153074
					0.0990724	0.0156376
					0.103833	0.0125541
					0.108635	0.0144795
					0.110896	0.01533
					0.103651	0.014886
					0.0984583	0.014497
					0.109336	0.014848
					0.101777	0.0141803
					0.116408	0.0147094
					0.114695	0.0145311
					0.108033	0.0143516
					0.111749	0.0143143
					0.113336	0.0149856
					0.11432	0.0158542
					0.104443	0.0147449
					0.111759	0.0142399
					0.109429	0.0148838
					0.114379	0.0135655
					0.119612	0.0137717
					0.11444	0.013422
					0.113428	0.0130987
					0.106046	0.012191
					0.12182	0.012742
					0.120577	0.0139494
					0.112698	0.0141884
					0.114094	0.0142059
					0.110025	0.0130787
					0.111152	0.0126925
					0.10708	0.0154823
					0.11001	0.0121995
					0.1183	0.0123225
					0.113144	0.0128743
					0.113479	0.0117457
					0.114179	0.0127668
					0.111789	0.0113604
					0.106133	0.0145618
					0.108986	0.0144289
					0.111082	0.0150695
					0.107248	0.0139642
					0.113542	0.0135019
					0.113397	0.0132831
					0.1169	0.0143265
					0.11439	0.0149197
					0.116714	0.014221
					0.11464	0.0146822
					0.118854	0.0158437
					0.110172	0.0139053
					0.114624	0.0122439
					0.110265	0.0157605
					0.111249	0.012563
					0.110467	0.0131285
					0.11617	0.0145517
					0.107833	0.0147286
					0.109847	0.0155724
					0.109496	0.0149514
					0.109551	0.0140109
					0.109505	0.016415
					0.107632	0.0158573
					0.110992	0.0150618
					0.108673	0.0140482
					0.114435	0.0147542
					0.112971	0.0148016
					0.116239	0.0128398
					0.113188	0.0120777
					0.110721	0.0135743
					0.113393	0.0149175
					0.108885	0.0120656
					0.106023	0.0112128
					0.114012	0.013651
					0.108233	0.0146401
					0.113187	0.0146368
					0.122057	0.0162302
					0.105734	0.0153187
					0.117851	0.0127494
					0.112866	0.0158192
					0.107939	0.0164228
					0.117503	0.0137683
					0.1132	0.0146604
					0.12662	0.0129483
					0.129551	0.0137202
					0.125132	0.0137644
					0.125174	0.0137201
					0.128363	0.0160298
					0.117528	0.0136143
					0.12594	0.0156539
					0.11449	0.0142271
					0.121124	0.0155298
					0.12099	0.0132976
					0.130547	0.0149739
					0.120833	0.0156372
					0.123227	0.0125401
					0.123457	0.0161931
					0.123035	0.0125709
					0.120961	0.0145781
					0.122628	0.0118223
					0.112589	0.0152758
					0.1209	0.0153893
					0.121262	0.0140101
					0.119491	0.0158043
					0.115408	0.0138309
					0.127203	0.0148901
					0.125195	0.012046
					0.115604	0.0133193
					0.117575	0.0147074
					0.121059	0.0116273
					0.11675	0.0145615
					0.124936	0.0142826
					0.116784	0.0132048
					0.119457	0.0133026
					0.125197	0.0136286
					0.128087	0.0156072
					0.125566	0.0133838
					0.133215	0.0156524
					0.127844	0.0134327
					0.131307	0.013398
					0.124275	0.0139828
					0.123737	0.0126007
					0.128035	0.0128047
					0.13854	0.0114573
					0.12565	0.0132304
					0.125419	0.0114002
					0.128135	0.0144371
					0.140873	0.0144289
					0.146277	0.0130624
					0.143105	0.0145083
					0.147545	0.0114849
					0.139594	0.0137136
					0.138395	0.0128627
					0.142417	0.0122996
					0.142026	0.0148481
					0.143625	0.0139887
					0.147057	0.0145777
					0.150319	0.0164639
					0.140432	0.013581
					0.146603	0.0125868
					0.150733	0.0119101
					0.142865	0.0125226
					0.132772	0.0141427
					0.1414	0.01146
					0.150208	0.013102
					0.143413	0.0120192
					0.149559	0.0120827
					0.151722	0.0163281
					0.153772	0.0144547
					0.145083	0.0163341
					0.155409	0.0168368
					0.151174	0.0139806
					0.153981	0.0138159
					0.163316	0.0125097
					0.158018	0.0131649
					0.147348	0.0144994
					0.155531	0.01558
					0.170053	0.0189104
					0.157963	0.0153047
					0.157341	0.0133028
					0.162796	0.014055
					0.162768	0.0140461
					0.157592	0.0147074
					0.164705	0.0156793
					0.16118	0.0128852
					0.165637	0.0141261
					0.157083	0.0148746
					0.167844	0.0166331
