cur1_63	cur1_64	cur1_65	cur1_66	cur1_67	jlap1_63	jlap1_64	jlap1_65	jlap1_66	jlap1_67	rp5462	rp6367	rp6878	sub	sub3	tbasej3
-0.00827388	-0.00817825	-0.00520691	-0.00536617	-0.00377863	-0.0085863	0.0170229	0.00161244	-0.00712564	-0.008197	-0.043592	-0.0424048	-0.043064	0.000528	0.0010632	0.649149
-0.00802689	-0.00583558	-0.00483727	-0.00724966	-0.00478806	-0.00236576	0.00601453	-0.0127128	0.00941128	0.00906808	-0.0445763	-0.0422748	-0.0438386	0.0007377	0.00104508	0.694037
-0.00616113	-0.0049331	-0.00868915	-0.00486802	-0.0047413	-0.00666374	0.000598027	-0.00782563	0.00219495	-0.00724495	-0.0455868	-0.0426822	-0.0445236	0.0010632	0.000624206	0.739661
-0.006768	-0.00660847	-0.00423871	-0.00612574	-0.00606814	0.0144924	0.0125026	-0.00648242	-0.00148192	0.0167006	-0.0460568	-0.0440081	-0.0450117	0.0010451	0.000310648	0.785933
-0.00640421	-0.00495659	-0.00465696	-0.00432465	-0.0054306	0.00187347	-0.00105507	-0.000228178	-0.00323523	0.0012577	-0.0458992	-0.0456158	-0.045275	0.0006242	0.000599179	0.831817
-0.00757254	-0.00781295	-0.00421544	-0.00553648	-0.00616219	0.00926584	0.00556529	-0.0031766	0.00992606	-0.00722124	-0.0457812	-0.0467831	-0.0454705	0.0003107	0.00119102	0.877483
-0.006191	-0.00524914	-0.00664767	-0.00509605	-0.00773149	-0.0109975	0.000582914	0.0023128	0.0060481	-0.00556633	-0.0464244	-0.0472156	-0.0458252	0.0005992	0.00133512	0.923755
-0.00989472	-0.00545076	-0.00627487	-0.00592712	-0.00580594	0.00537988	-0.00339539	-0.00158702	-7.03E-05	-0.00324746	-0.0476289	-0.047231	-0.0464379	0.001191	0.000662588	0.970238
-0.00697568	-0.00562696	-0.00535276	-0.00462998	-0.00810996	-0.000515531	0.0044905	0.0101283	-0.00234923	0.000244874	-0.0486359	-0.0473836	-0.0473008	0.0013351	-0.000377666	1.01593
-0.0068022	-0.00422766	-0.00829876	-0.00615298	-0.0074349	0.00310476	0.00656575	0.00337451	0.00911996	-0.00215517	-0.0489604	-0.0479538	-0.0482978	0.0006626	-0.000956193	1.06132
-0.00771281	-0.00528217	-0.00527316	-0.00434415	-0.00495571	-0.00983859	-0.0135381	-0.0105987	0.00386511	0.00925324	-0.0488931	-0.0489199	-0.0492708	-0.0003777	-0.000746872	1.10779
-0.00684779	-0.00722309	-0.006513	-0.00570797	-0.00543394	-0.00354061	0.0145701	-0.0111683	0.00313311	0.010313	-0.0491182	-0.0500234	-0.0500744	-0.0009562	-0.000114132	1.1559
