sub2	tbasej2	rp2837	rp4150b	cur2_38	cur2_39	lap2_38	lap2_39
0.00194602	9.56898	-0.0593283	-0.0567062	0.0140116	0.0192257	0.110137	0.124302
0.00108838	9.6864	-0.0588933	-0.0566049	0.0147963	0.01686	0.110196	0.124787
0.00191612	9.80532	-0.0595759	-0.0576299	0.0151628	0.0190105	0.110259	0.125282
0.001558	9.94506	-0.0600156	-0.0589273	0.0148826	0.0165296	0.110325	0.125789
0.000904948	10.057	-0.0598222	-0.0579061	0.0175682	0.0194948	0.110394	0.126309
0.00113225	10.3553	-0.0598518	-0.0582938	0.0152926	0.016069	0.110467	0.126841
-0.000283692	10.5	-0.0595322	-0.0586273	0.0153938	0.0183567	0.110542	0.127383
0.000109694	10.7	-0.0599841	-0.0588518	0.0145051	0.0183631	0.110622	0.127935
				0.015806	0.0167601	0.110704	0.128499
				0.0136629	0.0189072	0.110793	0.129075
				0.0147267	0.0173628	0.110887	0.129662
				0.0162629	0.0193892	0.110987	0.130262
				0.0166733	0.0197793	0.11109	0.130872
				0.0141487	0.0196953	0.111196	0.131492
				0.0172145	0.0184768	0.111308	0.132122
				0.0148759	0.019028	0.111424	0.132762
				0.0150508	0.0170144	0.111546	0.133414
				0.0169368	0.019628	0.111674	0.134077
				0.01601	0.0157419	0.111806	0.13475
				0.0153506	0.0178325	0.111943	0.13543
				0.0158114	0.0146808	0.112084	0.13612
				0.0136116	0.0166529	0.112231	0.13682
				0.0143436	0.0181393	0.112383	0.137531
				0.0176989	0.0209338	0.11254	0.138251
				0.0153194	0.0179251	0.112701	0.138982
				0.0151896	0.0190813	0.112868	0.139723
				0.0161742	0.0184835	0.11304	0.140476
				0.0168498	0.0186645	0.113218	0.141238
				0.0130196	0.0182014	0.113401	0.142008
				0.0153052	0.0176788	0.113591	0.142788
				0.0156775	0.0175426	0.113786	0.143575
				0.0157074	0.0180215	0.113987	0.144374
				0.0137484	0.0170759	0.114195	0.145181
				0.0148421	0.0191867	0.114409	0.145999
				0.0140387	0.0168827	0.114631	0.146827
				0.0156845	0.0154218	0.114859	0.147663
				0.0142989	0.0185367	0.115094	0.148509
				0.0136428	0.0187891	0.115336	0.149363
				0.0121233	0.0180606	0.115586	0.150225
				0.0168549	0.0180266	0.115843	0.151094
				0.0149176	0.0172834	0.116106	0.151971
				0.0138209	0.0186384	0.116374	0.152851
				0.015514	0.0160038	0.116649	0.153738
				0.0164866	0.0198625	0.11693	0.15463
				0.0160877	0.0186448	0.117217	0.15553
				0.0143241	0.0171108	0.11751	0.156435
				0.0168778	0.0196574	0.117811	0.157348
				0.0153585	0.0193341	0.11812	0.158267
				0.0143287	0.0162369	0.118437	0.159192
				0.0151642	0.0162766	0.118759	0.160125
				0.0157278	0.0187571	0.119087	0.161064
				0.0138761	0.0183085	0.119424	0.16201
				0.0174282	0.0202284	0.119767	0.162962
				0.0141495	0.0158173	0.120118	0.163918
				0.0139545	0.0162647	0.120474	0.164881
				0.0156559	0.0179753	0.120835	0.165848
				0.0151261	0.0178765	0.121204	0.166821
				0.0153679	0.0170072	0.121581	0.167798
				0.0150283	0.0189263	0.121965	0.168779
				0.0150883	0.0188077	0.122357	0.169764
				0.0157353	0.0167136	0.122756	0.170755
				0.0151537	0.0173396	0.123161	0.171749
				0.0136967	0.0176686	0.123575	0.172749
				0.0151665	0.0180171	0.123996	0.173753
				0.0133714	0.0171528	0.124424	0.174763
				0.0134405	0.0183161	0.124858	0.175779
				0.0155172	0.0182509	0.1253	0.176801
				0.0143903	0.0175136	0.125749	0.177828
				0.0148868	0.0188386	0.126208	0.17886
				0.0141652	0.0180878	0.126675	0.179894
				0.0143351	0.0191522	0.127151	0.180934
				0.0142476	0.0175123	0.127634	0.181978
				0.0151364	0.0172334	0.128123	0.183027
				0.0120337	0.0173528	0.128621	0.18408
				0.0160178	0.0169228	0.129126	0.185139
				0.0150688	0.0166279	0.129639	0.186203
				0.0158315	0.0187334	0.130159	0.187272
				0.0148154	0.0208769	0.130684	0.188346
				0.0134463	0.0167523	0.131214	0.189424
				0.0164253	0.0167845	0.131748	0.190507
				0.0145143	0.019804	0.132289	0.19159
				0.0116797	0.0170587	0.132837	0.192676
				0.0152126	0.0180698	0.13339	0.193765
				0.0153845	0.0183818	0.13395	0.194858
				0.0155535	0.0171947	0.134518	0.195954
				0.015	0.0195751	0.135093	0.197052
				0.0141156	0.0168162	0.135674	0.198151
				0.0138195	0.0160382	0.136261	0.199255
				0.0159775	0.0190322	0.136852	0.200361
				0.0156063	0.0174801	0.137447	0.201472
				0.015165	0.0169016	0.138047	0.202586
				0.0153139	0.0172925	0.138651	0.203702
				0.0141633	0.0172727	0.139259	0.204821
				0.0143381	0.0168763	0.139872	0.205941
				0.0157751	0.0177405	0.140489	0.207064
				0.016496	0.0178222	0.141112	0.20819
				0.0158169	0.0191851	0.141739	0.209319
				0.0169093	0.0180534	0.14237	0.210452
				0.0146224	0.0182872	0.143005	0.211587
				0.0148589	0.0169292	0.143644	0.212724
				0.0143485	0.0160289	0.144287	0.213861
				0.0150351	0.0179971	0.144934	0.215001
				0.0154527	0.0189413	0.145585	0.216143
				0.0143035	0.0185529	0.146239	0.217285
				0.0144979	0.0167487	0.146897	0.218427
				0.0186509	0.0172343	0.147558	0.219568
				0.014552	0.0163608	0.148221	0.22071
				0.0124702	0.0180235	0.148886	0.221851
				0.012679	0.0200998	0.149551	0.222994
				0.0162801	0.0170071	0.150217	0.224139
				0.0148776	0.0170392	0.150883	0.225284
				0.0181684	0.0190066	0.151549	0.226428
				0.0117647	0.0186946	0.152214	0.227573
				0.0173444	0.0177556	0.15288	0.228718
				0.0130382	0.016366	0.153547	0.229863
				0.0159832	0.0197649	0.154214	0.231009
				0.0154364	0.0201632	0.154881	0.232158
				0.0145082	0.0184439	0.155548	0.233306
				0.014668	0.0176675	0.156215	0.234456
				0.0135551	0.0163998	0.156882	0.235606
				0.0138944	0.0169684	0.157549	0.236761
				0.0165196	0.0163087	0.158215	0.237916
				0.0160475	0.0216528	0.15888	0.239074
				0.0165121	0.0177836	0.159543	0.240232
				0.0147715	0.0192355	0.160204	0.241391
				0.0154672	0.0147477	0.160866	0.242552
				0.0154522	0.0184801	0.161525	0.243711
				0.0134758	0.019177	0.162182	0.244869
				0.0142016	0.0168223	0.162836	0.246026
				0.0138973	0.016429	0.163487	0.247183
				0.016859	0.0173475	0.164135	0.248342
				0.0163889	0.0195855	0.164779	0.249502
				0.016097	0.0169946	0.165421	0.250659
				0.016056	0.0153206	0.166058	0.251817
				0.0137341	0.0197456	0.16669	0.252973
				0.0149067	0.0173395	0.167319	0.254128
				0.0138034	0.0176624	0.167943	0.255283
				0.015594	0.0182327	0.168563	0.256437
				0.0148169	0.018921	0.169179	0.257591
				0.0160744	0.0146982	0.169791	0.258746
				0.0130142	0.017719	0.1704	0.259901
				0.0170418	0.0190107	0.171005	0.261058
				0.0142506	0.0160812	0.171607	0.262217
				0.0167895	0.0192346	0.172207	0.263377
				0.0123872	0.0159904	0.172803	0.264539
				0.0163785	0.01908	0.173398	0.265702
				0.0141039	0.0187538	0.173988	0.266865
				0.0159986	0.019068	0.174573	0.268027
				0.015758	0.015381	0.175153	0.269189
				0.0147751	0.0190832	0.175728	0.27035
				0.0183551	0.0166904	0.1763	0.27151
				0.0132867	0.0181117	0.176867	0.272669
				0.015683	0.0167553	0.177429	0.273827
				0.0156586	0.0181099	0.177987	0.274986
				0.014756	0.0158623	0.178541	0.276144
				0.0163482	0.017707	0.179091	0.277303
				0.0135876	0.0173742	0.179636	0.278461
				0.0148333	0.0176193	0.180176	0.27962
				0.0154009	0.0173562	0.180712	0.280778
				0.0151953	0.0176502	0.181243	0.281935
				0.0170141	0.0171222	0.181768	0.283091
				0.013788	0.0168882	0.182288	0.284244
				0.0173905	0.018111	0.182803	0.285395
				0.015332	0.0188851	0.183313	0.286543
				0.0149541	0.0186237	0.183818	0.287689
				0.0149619	0.017601	0.184318	0.288831
				0.0146699	0.0170123	0.184814	0.289971
				0.014136	0.0181598	0.185306	0.291106
				0.0147016	0.0182738	0.185789	0.292236
				0.0160027	0.0187971	0.186264	0.293364
				0.0138724	0.0175088	0.18673	0.294488
				0.0143965	0.0182268	0.187189	0.295609
				0.0140828	0.0182685	0.18764	0.296726
				0.016627	0.0182232	0.188084	0.29784
				0.0147399	0.0186762	0.188521	0.298949
				0.0142042	0.0169698	0.188951	0.300054
				0.0131727	0.0181147	0.189373	0.301154
				0.01428	0.0203132	0.189787	0.30225
				0.0166986	0.0206519	0.190195	0.303343
				0.015313	0.018715	0.190595	0.304432
				0.0132565	0.0177781	0.19099	0.305517
				0.0160664	0.0188387	0.191378	0.306601
				0.0152331	0.0174454	0.191759	0.307685
				0.0147965	0.0161392	0.192133	0.308763
				0.0128619	0.0175647	0.192499	0.309836
				0.01473	0.0175712	0.192858	0.310906
				0.014042	0.0179901	0.193209	0.311971
				0.0154615	0.0177276	0.193553	0.313032
				0.014284	0.0151486	0.193889	0.314087
				0.0150152	0.0182624	0.194219	0.315133
				0.0150321	0.0186498	0.194544	0.316173
				0.0158584	0.0176453	0.194861	0.317207
				0.0147593	0.016951	0.195171	0.318234
				0.0152577	0.0193165	0.195475	0.319257
				0.0131291	0.0171166	0.195772	0.320271
				0.0143072	0.0180636	0.196063	0.321279
				0.0169667	0.0183105	0.196347	0.322281
				0.0180851	0.0187876	0.196623	0.323275
				0.0163458	0.0186588	0.196892	0.324261
				0.0150668	0.0199509	0.197156	0.325239
				0.0160122	0.0168494	0.197413	0.326212
				0.0142692	0.0180316	0.197664	0.327177
				0.0137068	0.0171691	0.197908	0.328135
				0.0131445	0.0195765	0.198145	0.329086
				0.0167894	0.0177551	0.198377	0.330032
				0.0151531	0.0189219	0.198602	0.330973
				0.013995	0.0204139	0.198819	0.331908
				0.0163427	0.0182457	0.199031	0.332834
				0.0153524	0.0171962	0.199238	0.333755
				0.016187	0.0173203	0.199439	0.334668
				0.0166496	0.0180567	0.199634	0.335572
				0.0144986	0.0185863	0.199824	0.336467
				0.014748	0.0200898	0.200008	0.337354
