jlap1_34	jlap1_35	cur1_34	cur1_35
0.324997	0.164803	0.0108835	0.0148537
0.310512	0.166493	0.0122953	0.0118872
0.313823	0.160885	0.012676	0.0127224
0.318503	0.169741	0.0123099	0.0123186
0.317214	0.166255	0.0118569	0.0124149
0.315102	0.158769	0.0108409	0.0136794
0.313838	0.16053	0.011229	0.0138376
0.315957	0.157452	0.0141126	0.0128759
0.327954	0.157122	0.0125796	0.014618
0.318089	0.162896	0.0120358	0.0150031
0.321633	0.161991	0.011473	0.0124804
0.325965	0.162901	0.0110368	0.0149864
0.322713	0.168929	0.0148205	0.0119141
0.312238	0.15622	0.0103285	0.0139965
0.311649	0.169107	0.0119522	0.0134368
0.312759	0.157421	0.00983532	0.0151804
0.315909	0.146699	0.0147366	0.0124366
0.325916	0.16686	0.013597	0.0118033
0.311512	0.156318	0.0143106	0.015025
0.315079	0.167364	0.0110434	0.0123975
0.311164	0.161621	0.0150326	0.0128871
0.311745	0.170058	0.0117559	0.0147539
0.310859	0.154596	0.0109615	0.0120012
0.322482	0.151564	0.0141706	0.0138702
0.318232	0.154472	0.0126612	0.0141368
0.310671	0.150643	0.0129725	0.0116014
0.308849	0.148505	0.0116968	0.0174342
0.314795	0.156568	0.00844553	0.013
0.293346	0.16388	0.0109816	0.0146923
0.286787	0.158033	0.0119083	0.0152983
0.304465	0.157429	0.00988602	0.0154344
0.287932	0.160556	0.0107265	0.01407
0.30439	0.166003	0.0110872	0.0137667
0.297102	0.158479	0.0123779	0.0152844
0.286163	0.158992	0.0127388	0.0146399
0.297498	0.161391	0.0100936	0.0128582
0.295927	0.163991	0.0140071	0.0149654
0.297244	0.161634	0.0135458	0.0130906
0.29625	0.154859	0.012171	0.0126128
0.291434	0.166593	0.0122259	0.0133078
0.299982	0.157444	0.0134335	0.0146218
0.295625	0.164855	0.0153479	0.0133328
0.295517	0.155638	0.0135195	0.0159828
0.290448	0.153297	0.0116896	0.0137053
0.290664	0.164722	0.0107444	0.0133119
0.299287	0.153611	0.0143043	0.0155933
0.291957	0.154764	0.012672	0.0136869
0.304282	0.159124	0.00901873	0.0130523
0.295568	0.165791	0.0132127	0.0152409
0.288208	0.165958	0.0107951	0.0153748
0.294558	0.161489	0.0113925	0.0144054
0.293899	0.159251	0.0121046	0.0118454
0.287718	0.167358	0.0105212	0.0100992
0.282491	0.16317	0.0143949	0.0139515
0.301075	0.163362	0.0115725	0.0134861
0.292054	0.167405	0.0140797	0.0141964
0.279382	0.165556	0.0115985	0.015664
0.291645	0.150314	0.0134634	0.0136647
0.288987	0.15807	0.0138511	0.0161021
0.287425	0.157694	0.0103444	0.0163697
0.287655	0.160892	0.0118148	0.016995
0.288724	0.156011	0.0107213	0.0137034
0.290014	0.157318	0.0133601	0.0133336
0.279588	0.15925	0.0154383	0.0155328
0.2923	0.163065	0.0111624	0.0137439
0.286434	0.159252	0.0122051	0.0154305
0.287833	0.154397	0.0112907	0.0169541
0.295911	0.159154	0.0112888	0.0128103
0.297279	0.152208	0.0109893	0.0131089
0.286051	0.155948	0.0121133	0.0127146
0.288728	0.16129	0.0104627	0.0127029
0.303274	0.157353	0.0122164	0.012436
0.289374	0.155425	0.0114241	0.0140178
0.278015	0.158563	0.0129653	0.0138056
0.289105	0.159073	0.0118924	0.0148526
0.293935	0.155703	0.0119716	0.0143104
0.2839	0.162131	0.0137691	0.0143862
0.292835	0.158021	0.0112374	0.016205
0.284668	0.165255	0.0116255	0.0153968
0.292301	0.15868	0.010231	0.0133244
0.29702	0.159604	0.0128235	0.0128593
0.296696	0.157022	0.0141438	0.0142651
0.294939	0.153939	0.0138941	0.0161442
0.278228	0.159823	0.0101501	0.0140917
0.287901	0.161733	0.0108273	0.0125789
0.288323	0.150891	0.0114842	0.0138448
0.296423	0.165063	0.0138043	0.0125412
0.309984	0.155164	0.0145038	0.0131803
0.290328	0.167507	0.0136526	0.0138124
