jlap1_35	jlap1_36	jlap1_42	jlap1_44	cur1_35	cur1_36	cur1_42	cur1_44
0.0264273	0.0285368	0.0172861	0.43264	-0.168212	-0.168553	-0.167834	-0.167661
0.0198976	0.00766482	0.0190272	0.442745	-0.172787	-0.167183	-0.168991	-0.166445
0.0250242	0.03381	0.0252643	0.442632	-0.169436	-0.166588	-0.167597	-0.167541
0.026887	0.0280071	0.0256681	0.449722	-0.168885	-0.164653	-0.1689	-0.168279
0.0147955	0.0221876	0.015905	0.452893	-0.166386	-0.167414	-0.170329	-0.166831
0.0304909	0.0241786	0.0269124	0.460796	-0.168526	-0.165484	-0.168095	-0.168587
0.0127165	0.0292244	0.0142836	0.45813	-0.169873	-0.167775	-0.169135	-0.168038
0.0347582	0.0227407	0.0380932	0.48121	-0.170249	-0.166302	-0.168853	-0.166221
0.00932428	0.0153207	0.029786	0.476405	-0.168852	-0.167705	-0.169784	-0.16626
0.0245275	0.0193197	0.0316704	0.471643	-0.166565	-0.168685	-0.170978	-0.16663
0.0235877	0.0190057	0.0217396	0.479429	-0.168966	-0.167244	-0.171856	-0.165815
0.0264211	0.0352232	0.0212646	0.492878	-0.167196	-0.168886	-0.170895	-0.16668
0.021514	0.0297356	0.0263136	0.490516	-0.167949	-0.166913	-0.169505	-0.167177
0.0180383	0.0222933	0.039058	0.488388	-0.168364	-0.16631	-0.172495	-0.16721
0.0225629	0.020563	0.0200048	0.498528	-0.170089	-0.168252	-0.169162	-0.167018
0.0231204	0.0197336	0.0370745	0.499969	-0.170147	-0.168626	-0.170394	-0.168227
0.0289563	0.0115804	0.0200207	0.507694	-0.169069	-0.166454	-0.166501	-0.165925
0.0298348	0.0285759	0.0279056	0.505384	-0.17022	-0.167092	-0.167257	-0.167314
0.0283263	0.022052	0.0459073	0.519482	-0.170302	-0.169055	-0.169307	-0.169652
0.0216992	0.0137424	0.0477587	0.512959	-0.171656	-0.166835	-0.170721	-0.167687
0.0352381	0.0186894	0.0281123	0.534415	-0.170339	-0.168052	-0.170358	-0.169451
0.0288451	0.0210023	0.0211258	0.514564	-0.168173	-0.167247	-0.16877	-0.167165
0.026254	0.0337955	0.0314159	0.50961	-0.168948	-0.166853	-0.169835	-0.16621
0.0244293	0.0230221	0.0359736	0.527162	-0.169477	-0.169478	-0.168721	-0.1679
0.0201525	0.023663	0.0375698	0.550985	-0.17088	-0.170324	-0.170134	-0.165314
0.0284839	0.0206573	0.0329268	0.539559	-0.171577	-0.16694	-0.168774	-0.16741
0.0277533	0.00933299	0.0435169	0.542429	-0.167698	-0.167102	-0.168925	-0.168436
0.0309704	0.0295624	0.0408061	0.522414	-0.16846	-0.166025	-0.168268	-0.166272
0.0187681	0.0230045	0.0363628	0.553775	-0.17012	-0.167875	-0.169845	-0.166691
