sub2	tbasej2	rp2033	rp3664b	rp3435	jlap1_34	jlap1_35	cur1_34	cur1_35	rp6778	rp6566	jlap1_65	jlap1_66	cur1_65	cur1_66
-0.00217329	1.75132	-0.0549929	-0.0560092	-0.0570466	0.105615	0.070608	0.0127667	0.0152272	-0.0563121	-0.0550714	0.0751109	0.0765562	0.0128171	0.0150633
-0.00315663	1.79648	-0.054833	-0.0562337	-0.0566743	0.10699	0.0714921	0.00948464	0.0123682	-0.0566172	-0.0555249	0.0775551	0.0819049	0.0116331	0.0134247
-0.00393625	1.84089	-0.0543665	-0.0565398	-0.0565743	0.106451	0.0748592	0.0126349	0.0141763	-0.0568365	-0.0559883	0.0729765	0.0872969	0.0108545	0.0137866
-0.00428001	1.88494	-0.0537245	-0.0568811	-0.0568031	0.11446	0.0634243	0.0128194	0.0147214	-0.0568854	-0.056211	0.0788758	0.0832478	0.00968733	0.0140575
-0.00427864	1.9294	-0.0531986	-0.0571348	-0.0571462	0.116811	0.0689372	0.009017	0.0138539	-0.0568542	-0.0561071	0.085935	0.0841543	0.00979387	0.0129755
-0.00416115	1.97461	-0.0528847	-0.0571647	-0.0573004	0.120533	0.0708236	0.0135125	0.0150187	-0.0568829	-0.0558641	0.0862512	0.0794577	0.0123193	0.0133895
-0.00414652	2.02024	-0.0526401	-0.0569187	-0.0571205	0.114557	0.0780099	0.013102	0.0138313	-0.0570354	-0.0558045	0.0841864	0.0883785	0.0129049	0.014761
-0.00408069	2.06619	-0.0523615	-0.0565226	-0.0567246	0.129029	0.0688986	0.0131736	0.0139925	-0.057233	-0.0560366	0.0859568	0.0826743	0.0109868	0.0137197
-0.0041564	2.11319	-0.0521317	-0.0562783	-0.0562778	0.12157	0.074727	0.011001	0.0136131	-0.0573412	-0.056299	0.0858546	0.0899296	0.0134144	0.0144351
-0.00474002	2.1611	-0.0520371	-0.0561178	-0.0557307	0.119926	0.0830703	0.00988125	0.0131933	-0.0573381	-0.0562141	0.102285	0.10635	0.012877	0.0142777
-0.00570871	2.2087	-0.0519219	-0.0560783	-0.0549246	0.124206	0.0894137	0.0124062	0.0136903	-0.0573075	-0.0556897	0.100963	0.105089	0.0115078	0.0134197
-0.00633007	2.25612	-0.0514125	-0.0561525	-0.0540106	0.129859	0.0892992	0.0107698	0.0129962	-0.0572999	-0.0550712	0.10337	0.0968344	0.00981058	0.0147006
-0.0059896	2.30525	-0.0504513	-0.05616	-0.0534741	0.133989	0.0848086	0.0114341	0.0118163	-0.0572524	-0.0547889	0.10913	0.102919	0.0122344	0.0121271
-0.00473003	2.35761	-0.0496288	-0.0559589	-0.0535008	0.145035	0.084635	0.0117358	0.0142682	-0.0570517	-0.054949	0.113408	0.115239	0.012067	0.0143175
-0.00353701	2.41162	-0.0496261	-0.0556157	-0.0537786	0.142917	0.08601	0.0125271	0.0153638	-0.0567176	-0.0552592	0.112244	0.115777	0.0115008	0.0149009
-0.00332952	2.46445	-0.0504174	-0.0551475	-0.0540261	0.146014	0.10701	0.0135713	0.0153852	-0.0564293	-0.0553166	0.114458	0.110059	0.0131205	0.0150655
-0.00412489	2.51659	-0.0512809	-0.0548179	-0.0543917	0.136356	0.0976356	0.0149939	0.0111405	-0.0563443	-0.0551147	0.113869	0.112492	0.0121436	0.0139702
-0.00511851	2.57043	-0.0515296	-0.0548591	-0.0549497	0.156145	0.105136	0.0108699	0.014913	-0.0564671	-0.0549892	0.118301	0.109902	0.0115701	0.0159036
-0.00560269	2.62778	-0.0511061	-0.055231	-0.0553628	0.146707	0.108568	0.0143885	0.0150582	-0.0566382	-0.0551817	0.122426	0.108414	0.0117786	0.0132634
-0.00555231	2.68951	-0.0504798	-0.0555983	-0.0552492	0.152448	0.109395	0.0115112	0.0154548	-0.056656	-0.0555231	0.130105	0.1222	0.0121153	0.0154387
-0.00531651	2.75562	-0.0500343	-0.055637	-0.054544	0.15892	0.116811	0.010259	0.016873	-0.0563642	-0.0555835	0.114858	0.117976	0.0123363	0.0132944
-0.00516178	2.82139	-0.0497344	-0.0552867	-0.0536653	0.154411	0.104844	0.0120525	0.0142244	-0.0557299	-0.0552614	0.117656	0.112459	0.0117366	0.0138087
-0.00488755	2.88235	-0.04938	-0.0546965	-0.0537783	0.154196	0.111575	0.0109459	0.0141262	-0.0549631	-0.054799	0.123013	0.118762	0.0121111	0.0150797
-0.00411155	2.94092	-0.0489582	-0.0541199	-0.0551283	0.160259	0.116257	0.0129161	0.0138967	-0.0543983	-0.0545306	0.111801	0.126357	0.0122926	0.0150974
-0.00298991	3.00163	-0.0488377	-0.0537252	-0.0559681	0.160749	0.1101	0.0113946	0.0139517	-0.0542614	-0.0546955	0.121697	0.123708	0.011981	0.0118821
-0.0021097	3.06676	-0.0494324	-0.0535439	-0.0557622	0.168378	0.113543	0.0118374	0.0132745	-0.0545468	-0.0549951	0.134577	0.120359	0.0127215	0.0135065
-0.0015972	3.13552	-0.0505626	-0.0535525	-0.0550565	0.168022	0.125112	0.0115357	0.0128618	-0.0550123	-0.0548922	0.131641	0.127555	0.0114597	0.0133228
-0.00115875	3.20625	-0.0516187	-0.0537284	-0.0547627	0.165104	0.118372	0.0126278	0.0145994	-0.0554419	-0.0544456	0.136233	0.122656	0.0113513	0.0153766
-0.000769285	3.27507	-0.052476	-0.0540732	-0.0552899	0.168093	0.120214	0.0101709	0.014261	-0.0557798	-0.0542166	0.142877	0.141743	0.0127743	0.0173437
-0.000422567	3.34064	-0.0533993	-0.054558	-0.0556855	0.165617	0.118382	0.0110753	0.0138284	-0.0560413	-0.0547091	0.147828	0.143035	0.00807147	0.0139098
-0.000128255	3.40676	-0.0541959	-0.0549652	-0.0554618	0.170083	0.118126	0.0119354	0.0123846	-0.0562331	-0.0556949	0.14456	0.149355	0.00993907	0.0163489
8.04E-05	3.47697	-0.0547607	-0.0551832	-0.0555863	0.183208	0.116803	0.0105941	0.0132855	-0.0562565	-0.0561515	0.137587	0.145973	0.0124206	0.0138471
-0.000162529	3.54786	-0.0552335	-0.0553617	-0.0563909	0.186751	0.114563	0.0118759	0.0133368	-0.0561532	-0.0558393	0.149628	0.138019	0.0127122	0.0123589
-0.000479039	3.61384	-0.0557507	-0.0556703	-0.0570798	0.184611	0.122681	0.0118055	0.0150515	-0.0562846	-0.0559073	0.157331	0.139663	0.0140668	0.0138701
-0.000282528	3.67634	-0.056	-0.0561625	-0.0573001	0.193526	0.127757	0.0111575	0.0146303	-0.0567443	-0.0565688	0.152411	0.141911	0.0116814	0.0134478
2.84E-05	3.7382	-0.0562508	-0.0567298	-0.0576106	0.192759	0.120365	0.0106607	0.0123679	-0.0572023	-0.0571617	0.146553	0.156606	0.0105044	0.0148777
6.74E-05	3.80143	-0.0567904	-0.0570729	-0.0582317	0.190093	0.123032	0.0128475	0.0141161	-0.0574343	-0.057286	0.160968	0.1516	0.0119286	0.0137711
1.83E-05	3.86614	-0.0571366	-0.0571082	-0.0588951	0.189617	0.13333	0.0120867	0.0165127	-0.0575397	-0.0571088	0.161524	0.154262	0.0109194	0.0147226
-4.06E-05	3.93181	-0.057212	-0.0571446	-0.0590758	0.191453	0.152847	0.0121327	0.0135856	-0.0577378	-0.0569944	0.152288	0.155798	0.0108654	0.0143153
-0.000147218	4.00129	-0.0574	-0.0573817	-0.0590621	0.199954	0.143741	0.0122472	0.0153962	-0.0579806	-0.057053	0.160017	0.159275	0.0121659	0.0133835
0.000984545	4.07559	-0.0575924	-0.057633	-0.059293	0.200591	0.154022	0.0114892	0.0143164	-0.0580464	-0.0571034	0.157376	0.163978	0.0122272	0.0131924
0.000216502	4.14882	-0.0576192	-0.0577665	-0.059518	0.20314	0.146295	0.0138771	0.0129907	-0.0577811	-0.0570861	0.159607	0.1618	0.0110274	0.011845
0.000484576	4.2	-0.058856	-0.0578714	-0.059295	0.204551	0.14938	0.0134525	0.0116311	-0.0576695	-0.0570991	0.163728	0.158964	0.011805	0.014779
-0.000118008	4.3	-0.0582357	-0.0580192	-0.0593814	0.209277	0.138249	0.0114801	0.0116575	-0.0580812	-0.0571166	0.166865	0.156475	0.00960128	0.0132459
-1.85E-05	4.4	-0.0585893	-0.0581048	-0.0594247	0.208126	0.144792	0.0130905	0.0142557	-0.0583748	-0.0570449	0.166013	0.161485	0.0105776	0.0146905
					0.210486	0.140605	0.0106865	0.012545			0.16767	0.16678	0.0112567	0.0167793
					0.208373	0.147282	0.0120772	0.0161835			0.168748	0.170184	0.011862	0.0149433
					0.209302	0.136202	0.0137945	0.0125473			0.177275	0.166779	0.0132834	0.0137354
					0.207285	0.139612	0.00949143	0.0113673			0.184416	0.167274	0.0112689	0.0131955
					0.214425	0.147502	0.0117231	0.0162095			0.183823	0.168065	0.0122483	0.0127727
					0.213585	0.146834	0.0127368	0.0116623			0.186424	0.17026	0.011189	0.0139798
					0.215251	0.150045	0.0127989	0.0120856			0.192677	0.166606	0.0120437	0.0152186
					0.21818	0.159526	0.0126718	0.0119142			0.191925	0.169603	0.0114333	0.0134462
					0.216711	0.151743	0.0123557	0.0136832			0.191315	0.184821	0.0109842	0.0136087
					0.213941	0.160768	0.0111194	0.0166105			0.190046	0.183111	0.0102224	0.0159929
					0.232248	0.154997	0.0151872	0.0164761			0.193346	0.184422	0.0101084	0.0146729
					0.236816	0.153904	0.0106719	0.0130413			0.194297	0.190085	0.0128744	0.0146441
					0.224515	0.167894	0.0140559	0.0131584			0.197087	0.193897	0.0128012	0.0159031
					0.241297	0.163345	0.0141456	0.0128463			0.198452	0.193348	0.0121768	0.0146543
					0.246665	0.153034	0.0106694	0.013184			0.20082	0.193739	0.00933458	0.0144076
					0.24981	0.163003	0.010861	0.012423			0.207093	0.19119	0.0111731	0.0154591
					0.234164	0.161121	0.0122425	0.0135111			0.205495	0.193717	0.011472	0.0142387
					0.24342	0.158558	0.011148	0.0130817			0.205804	0.194708	0.0126983	0.0142403
					0.237187	0.159279	0.0117686	0.0166295			0.205859	0.201745	0.0108242	0.01497
					0.236786	0.160965	0.0135607	0.0131098			0.205573	0.199289	0.0114239	0.0156348
					0.253195	0.160468	0.0125842	0.0122176			0.208974	0.200231	0.0108175	0.0137567
					0.258491	0.158108	0.0121437	0.0142106			0.204259	0.201668	0.0116857	0.0159118
					0.259095	0.16201	0.0110885	0.0135937			0.216564	0.201838	0.011105	0.0138124
					0.248221	0.16811	0.0111226	0.0136505			0.214633	0.206101	0.0122083	0.010774
					0.256659	0.166425	0.0141323	0.0141366			0.214648	0.206315	0.0118743	0.0112371
					0.25867	0.164543	0.0101275	0.0145737			0.212663	0.206283	0.0122157	0.0149806
					0.260115	0.164328	0.0113224	0.0142462			0.215656	0.204433	0.0101176	0.016387
					0.253536	0.167057	0.0132533	0.0147395			0.213266	0.206468	0.0123314	0.0150275
					0.258617	0.168349	0.0110475	0.0143034			0.215628	0.207442	0.0140443	0.0144525
					0.253323	0.169899	0.0113248	0.0145612			0.23177	0.204247	0.0120089	0.0151261
					0.261195	0.16643	0.0106731	0.0126469			0.23721	0.207871	0.0128283	0.0134408
					0.250946	0.165022	0.0131756	0.0122369			0.233317	0.218399	0.00908595	0.0160701
					0.264202	0.16616	0.0137961	0.0139701			0.240919	0.215432	0.0122472	0.0164868
					0.280892	0.167484	0.0124644	0.0156935			0.24656	0.221263	0.0128722	0.0161158
					0.269719	0.167281	0.0112439	0.0159809			0.234782	0.227665	0.0146104	0.0150324
					0.278775	0.166224	0.0139827	0.0152796			0.234155	0.208353	0.0118134	0.0140445
					0.271258	0.166727	0.0150343	0.0153842			0.229986	0.22273	0.0124996	0.0127328
					0.274663	0.167914	0.0137253	0.0159142			0.250665	0.216803	0.0115081	0.015386
					0.280192	0.169293	0.0131928	0.0150514			0.239611	0.223598	0.0130601	0.0156668
					0.276072	0.166883	0.0113527	0.0161393			0.239186	0.223816	0.0106999	0.0142597
					0.277081	0.165831	0.0142801	0.0139962			0.235117	0.228311	0.0126546	0.0140845
					0.277698	0.165731	0.0128822	0.0152385			0.251644	0.228652	0.012326	0.014832
					0.283822	0.167699	0.0118328	0.0138148			0.247329	0.232487	0.0140835	0.0162822
					0.282292	0.169156	0.0103657	0.016768			0.246347	0.225039	0.0125192	0.014625
					0.287769	0.166709	0.0138394	0.015879			0.249171	0.239748	0.0125999	0.0150998
					0.286464	0.187083	0.0133625	0.0151547			0.25604	0.254118	0.0100931	0.0147261
					0.273413	0.184469	0.0140532	0.0141653			0.257654	0.228993	0.0125332	0.0161746
					0.273608	0.184729	0.0148077	0.0137845			0.259655	0.245077	0.0118126	0.0152657
					0.295394	0.18335	0.0123583	0.0169462			0.253877	0.24306	0.0120216	0.0140051
					0.278489	0.182913	0.0128691	0.0140663			0.256224	0.232545	0.0131263	0.0126867
					0.302169	0.187622	0.0120696	0.0151955			0.256713	0.244418	0.0116587	0.0130534
					0.289582	0.193588	0.0133102	0.0127181			0.262492	0.244168	0.0112468	0.0148779
					0.286648	0.19086	0.0132814	0.0138545			0.254524	0.245493	0.0129597	0.0145368
					0.285787	0.179007	0.0123706	0.0130285			0.27176	0.243139	0.0148321	0.0146179
					0.299429	0.182374	0.0113722	0.0134234			0.255598	0.249196	0.0128638	0.0141948
					0.285871	0.180539	0.0128343	0.0120077			0.268074	0.249974	0.0147864	0.0131153
