rp1214	rp2232	sub1	lap1_20_samp	lap1_19_samp	lap1_18_samp	lap1_17_samp	cur1_21_samp	cur1_20_samp	cur1_19_samp	cur1_18_samp	cur1_17_samp	lap1_21_samp
-0.0538711	-0.0559144	-0.00544813	0.121963	0.212322	0.244612	0.173393	-0.000745004	-0.000930572	-0.000862377	-0.000552214	-0.000754421	0.188997
-0.0519001	-0.0554528	-0.00700328	0.123268	0.214254	0.247381	0.175216	-0.000764082	-0.000763294	-0.000818734	-0.000896873	-0.000489485	0.191274
-0.0513436	-0.0554625	-0.00655319	0.124572	0.216186	0.250153	0.177049	-0.000902499	-0.00082019	-0.000730896	-0.000882782	-0.000587513	0.193559
-0.0512101	-0.0553262	-0.00561839	0.125877	0.218119	0.252978	0.178882	-0.000861953	-0.00063725	-0.000668675	-0.00068522	-0.000873531	0.195844
-0.0498751	-0.0552295	-0.00751315	0.127182	0.220051	0.255809	0.180715	-0.000872925	-0.000787645	-0.000955203	-0.000925904	-0.000767847	0.19813
-0.049847	-0.0555508	-0.00453695	0.128486	0.221983	0.25864	0.182548	-0.000760042	-0.00108449	-0.000849359	-0.00072841	-0.000720373	0.200414
-0.0518762	-0.0556164	-0.00398158	0.129791	0.223915	0.26147	0.184381	-0.000595948	-0.000681335	-0.000748124	-0.000772109	-0.000824805	0.2027
-0.0531234	-0.0560595	-0.00318323	0.131096	0.225848	0.264301	0.186213	-0.000793511	-0.000676077	-0.000942276	-0.000899549	-0.00106586	0.204985
-0.0522106	-0.0563113	-0.000775289	0.1324	0.22778	0.267132	0.188046	-0.000797249	-0.00065343	-0.000645726	-0.000905494	-0.000934588	0.20727
-0.0510438	-0.056204	-0.000177715	0.133705	0.229712	0.269963	0.189879	-0.000874843	-0.000778129	-0.000626278	-0.000771038	-0.000980763	0.209555
			0.13501	0.231645	0.272793	0.191712	-0.000829199	-0.000672699	-0.000669172	-0.000773725	-0.000835759	0.21184
			0.136314	0.233577	0.275624	0.193545	-0.000929763	-0.00103037	-0.000681377	-0.000692328	-0.000766961	0.214125
			0.137619	0.235508	0.278455	0.195378	-0.000703051	-0.000779688	-0.000760184	-0.00093949	-0.000903488	0.21641
			0.138924	0.237322	0.281286	0.19721	-0.000867385	-0.000716459	-0.00064284	-0.000858543	-0.00088833	0.218695
			0.140228	0.239094	0.284124	0.199043	-0.00079988	-0.000846895	-0.000799373	-0.00090466	-0.000765153	0.22098
			0.141533	0.240865	0.286965	0.200876	-0.000717061	-0.000924225	-0.000841937	-0.000953163	-0.00106056	0.223248
			0.142838	0.242637	0.289806	0.202709	-0.000741303	-0.00065237	-0.000763405	-0.000721609	-0.000908993	0.225511
			0.144142	0.244409	0.292647	0.204542	-0.000465909	-0.000793196	-0.000644144	-0.000803281	-0.000708405	0.227774
			0.145447	0.24618	0.295488	0.206377	-0.000559102	-0.000773591	-0.000922877	-0.000656777	-0.000765614	0.230037
			0.146742	0.247952	0.298329	0.208219	-0.000791769	-0.000580978	-0.000797002	-0.000883605	-0.000718544	0.2323
			0.147951	0.249723	0.30117	0.210061	-0.000983163	-0.000677315	-0.00087549	-0.000640688	-0.000706086	0.234563
			0.149156	0.251495	0.304011	0.211903	-0.000795797	-0.000849037	-0.000909364	-0.000762612	-0.0007695	0.236826
			0.15036	0.253267	0.306853	0.213745	-0.000804832	-0.000848607	-0.00102067	-0.000757543	-0.000709538	0.239089
			0.151564	0.255038	0.309694	0.215587	-0.000638954	-0.00060721	-0.000891267	-0.000712707	-0.000680089	0.241352
			0.152768	0.25681	0.312535	0.21743	-0.000818975	-0.000832059	-0.000871424	-0.00088607	-0.000672898	0.243615
			0.153973	0.258582	0.315361	0.219272	-0.000998391	-0.000630617	-0.000562459	-0.00082567	-0.000976641	0.245878
			0.155177	0.260353	0.318131	0.221114	-0.000678328	-0.000857065	-0.00104989	-0.000610267	-0.000781483	0.24814
			0.156381	0.262125	0.320899	0.222956	-0.000752938	-0.000717881	-0.000806709	-0.000827776	-0.000718661	0.250403
			0.157586	0.263897	0.323667	0.224798	-0.000762044	-0.000837166	-0.000916693	-0.00088362	-0.000873709	0.252666
			0.15879	0.265668	0.326435	0.22664	-0.00063948	-0.000867231	-0.000683571	-0.000777941	-0.000788999	0.254915
			0.159994	0.26744	0.329203	0.228483	-0.000844985	-0.00111886	-0.000491054	-0.000911076	-0.000764967	0.257112
			0.161199	0.269212	0.331971	0.230325	-0.00063433	-0.00050551	-0.000733369	-0.000924175	-0.000756823	0.259308
			0.162403	0.27092	0.33474	0.232167	-0.000927795	-0.000950517	-0.000864778	-0.00057276	-0.000897753	0.261504
			0.163607	0.27259	0.337508	0.234009	-0.000748336	-0.000890865	-0.000757215	-0.000968947	-0.000786664	0.2637
			0.164812	0.274261	0.340276	0.235851	-0.000559938	-0.000610334	-0.00087826	-0.000735962	-0.000866748	0.265896
			0.166016	0.275932	0.343044	0.237693	-0.000809711	-0.000575921	-0.00103698	-0.000738372	-0.000916918	0.268091
			0.16722	0.277603	0.345812	0.23954	-0.000655886	-0.00088168	-0.000735931	-0.000511515	-0.000664809	0.270287
			0.168425	0.279274	0.34857	0.241388	-0.000997595	-0.000817638	-0.00091982	-0.000678383	-0.000701765	0.272483
			0.169629	0.280945	0.351205	0.243235	-0.000746144	-0.000769626	-0.000747479	-0.000881568	-0.000706617	0.274679
			0.170833	0.282616	0.353832	0.245083	-0.000817701	-0.000803505	-0.000991425	-0.000839871	-0.000625901	0.276875
			0.172038	0.284287	0.356458	0.24693	-0.00114804	-0.00118972	-0.00082951	-0.000835244	-0.000767371	0.279071
			0.173242	0.285958	0.359085	0.248778	-0.000794257	-0.000711427	-0.000798637	-0.00103645	-0.000836281	0.281267
