sub11	rp811	rp1316	lap1_11	cur1_11	lap1_12	cur1_12
0.00315634	-0.0560692	-0.0540627	0.0293185	0.0131662	0.0302289	0.0162335
0.00289772	-0.0557907	-0.0531805	0.0293216	0.0161136	0.0302203	0.0168072
0.00290089	-0.0559952	-0.0528389	0.029324	0.0162168	0.0302138	0.0162512
0.0030924	-0.0561418	-0.0532441	0.029325	0.0142395	0.0302078	0.01326
0.00256318	-0.0558496	-0.0529487	0.0293269	0.0145718	0.0302033	0.0143188
0.00160306	-0.055222	-0.0521296	0.0293312	0.0159241	0.030195	0.0174097
0.00136126	-0.0548252	-0.052262	0.0293381	0.0143926	0.0301873	0.0152801
0.00212487	-0.0549136	-0.0533106	0.0293454	0.0126418	0.0301794	0.0149889
0.00262626	-0.0557467	-0.0543855	0.0293555	0.0126109	0.0301724	0.0172337
0.00239916	-0.0569987	-0.0548738	0.0293679	0.0143981	0.0301661	0.017159
0.00301957	-0.0576491	-0.0550229	0.0293826	0.0155856	0.0301578	0.0157319
0.00404214	-0.0576041	-0.0552049	0.029397	0.0152586	0.0301483	0.0150388
0.00430332	-0.0578669	-0.0548473	0.0294103	0.0140243	0.0301384	0.0150003
0.00408975	-0.0575628	-0.0535206	0.029424	0.0146247	0.0301276	0.016399
0.00479092	-0.0567699	-0.0524666	0.0294388	0.0130241	0.0301185	0.0153073
0.00588017	-0.0568544	-0.0527647	0.0294573	0.0101474	0.0301089	0.0142245
0.00601898	-0.057827	-0.0530361	0.0294801	0.0141644	0.030098	0.0152467
0.00429956	-0.0575401	-0.0516599	0.029498	0.0141114	0.0300906	0.0149258
0.00261751	-0.0571934	-0.0511744	0.0295214	0.0132614	0.03008	0.0136842
0.00214846	-0.0573417	-0.0530421	0.0295393	0.0115382	0.0300712	0.0147958
0.00387092	-0.0565006	-0.0538831	0.0295577	0.0151584	0.0300598	0.0164147
0.00403971	-0.0558021	-0.0536536	0.0295794	0.0135456	0.0300447	0.0159074
0.00305292	-0.0573759	-0.0535049	0.0296016	0.012755	0.0300305	0.015775
0.00583265	-0.057057	-0.0530173	0.0296252	0.0134903	0.0300183	0.0155299
0.00712826	-0.0569415	-0.0538886	0.0296496	0.0124713	0.030007	0.0152761
0.00407765	-0.0589503	-0.0531176	0.0296737	0.0120947	0.0299975	0.0196193
0.00393574	-0.0594269	-0.0522986	0.0296979	0.0138333	0.0299887	0.0161494
0.00656871	-0.0583329	-0.0542552	0.0297215	0.0116307	0.0299813	0.0164059
0.00594025	-0.0577088	-0.0537731	0.029747	0.0155266	0.0299734	0.0164461
0.00667496	-0.0584272	-0.0518585	0.0297722	0.0144507	0.0299634	0.0188904
0.0066187	-0.0592297	-0.0532894	0.0297962	0.0127021	0.0299589	0.0156326
0.00619674	-0.0600826	-0.0534076	0.0298246	0.0122197	0.0299535	0.0112313
0.00847883	-0.0594036	-0.0527849	0.0298561	0.012501	0.0299481	0.0146877
0.00759559	-0.058773	-0.0525763	0.0298927	0.0147618	0.0299434	0.0153567
0.00780467	-0.0602537	-0.0517749	0.0299324	0.0137517	0.029936	0.0149265
0.00896015	-0.060079	-0.0524834	0.0299761	0.0131065	0.0299278	0.0147612
0.00624016	-0.059662	-0.0518574	0.0300227	0.0136286	0.0299209	0.0162078
0.0061968	-0.0599314	-0.0509713	0.0300729	0.0131477	0.0299155	0.0141689
0.00756745	-0.0587055	-0.0524653	0.0301252	0.0132297	0.0299115	0.0140961
0.0109875	-0.0581478	-0.051951	0.030181	0.0136239	0.0299081	0.0144944
0.00818299	-0.0586275	-0.0510601	0.0302416	0.0129641	0.0299065	0.0158324
0.00534647	-0.059194	-0.0482065	0.0303058	0.0131691	0.0299088	0.0166268
0.00812594	-0.0577424	-0.0495594	0.0303717	0.0125099	0.0299154	0.0139516
0.00759574	-0.0561224	-0.0507759	0.0304402	0.0141212	0.0299234	0.0151212
0.00702597	-0.0582402	-0.0501143	0.0305114	0.0148384	0.029934	0.0156395
0.00678495	-0.0585192	-0.0509235	0.0305836	0.0126425	0.0299488	0.0145383
0.00676592	-0.05946	-0.0524341	0.0306606	0.0138246	0.0299688	0.0157089
0.00721902	-0.0593968	-0.0526118	0.0307399	0.0135802	0.029989	0.0165542
0.00429117	-0.0594469	-0.052681	0.0308195	0.0119591	0.0300133	0.015394
0.00478004	-0.0601526	-0.0529336	0.0309003	0.0125424	0.0300419	0.0148563
0.00275336	-0.0600926	-0.0558015	0.0309824	0.0135941	0.0300752	0.0128708
0.00146258	-0.0604223	-0.0556423	0.0310684	0.0166105	0.0301109	0.0169736
0.00164626	-0.0598224	-0.0570691	0.0311595	0.0148038	0.0301519	0.0129805
0.00197558	-0.059621	-0.0581584	0.0312554	0.0164303	0.0301975	0.0148853
0.00176432	-0.0595299	-0.0578837	0.0313574	0.0151709	0.030247	0.0151343
-0.000937161	-0.0591001	-0.0571246	0.0314643	0.0139754	0.0302995	0.0157545
0.000583041	-0.0598606	-0.0580962	0.0315741	0.0139984	0.0303541	0.0139157
