sub3	tbasej3	rp3444	rp6275b	lap2_61	lap2_62	cur2_61	cur2_62
				0.181623	0.183681	0.00540759	0.00320963
				0.18286	0.184711	0.00353354	0.00559065
				0.184107	0.185747	0.0058351	0.00414896
				0.185365	0.186789	0.00598932	0.00573633
				0.186633	0.187837	0.00564857	0.00776544
				0.187911	0.188893	0.00350018	0.00530253
				0.1892	0.189954	0.00306537	0.00535381
				0.190499	0.191022	0.00512558	0.00477524
				0.191808	0.192097	0.00348452	0.00619721
				0.193128	0.193175	0.00543063	0.00350457
				0.194458	0.194256	0.00558287	0.00531743
				0.195799	0.19534	0.00321278	0.00607788
				0.197152	0.196427	0.00500967	0.0031823
				0.198516	0.19752	0.00563403	0.00364913
				0.199887	0.198616	0.00178515	0.00194981
				0.201266	0.199715	0.0036014	0.00530208
				0.202652	0.200816	0.00548433	0.00300219
				0.204043	0.20192	0.00314601	0.00256625
				0.205441	0.203026	0.00330366	0.00461267
				0.206843	0.204135	0.00617845	0.00580401
				0.208251	0.205245	0.00484393	0.00648889
				0.209665	0.206359	0.00636178	0.00457603
				0.211086	0.207475	0.00506274	0.00632879
				0.212515	0.208595	0.00495424	0.00475962
				0.21395	0.20972	0.00586012	0.00687885
				0.215392	0.210848	0.00491716	0.00163266
				0.216839	0.211981	0.00452503	0.0037992
				0.218293	0.213117	0.00678862	0.00574636
				0.219753	0.214255	0.00450911	0.00478178
				0.221219	0.215396	0.00348481	0.0020455
				0.22269	0.216539	0.00523763	0.00384417
				0.224166	0.217683	0.00482308	0.00254586
				0.225648	0.218829	0.00503496	0.00532395
				0.227135	0.219976	0.00426619	0.0039038
				0.228628	0.221123	0.00327405	0.00622704
				0.230126	0.222272	0.00564591	0.0040486
				0.231629	0.223421	0.00482686	0.00705843
				0.233135	0.224572	0.00643161	0.0031628
				0.234646	0.225723	0.00177962	0.00593477
				0.236162	0.226876	0.00535907	0.00571897
				0.237685	0.228031	0.00595119	0.00517146
				0.239212	0.229185	0.00167226	0.00423871
				0.240742	0.23034	0.00639124	0.00482276
				0.242276	0.231495	0.00454524	0.00574709
				0.243816	0.232648	0.00543481	0.00693205
				0.245361	0.233799	0.00470232	0.00580313
				0.246907	0.23495	0.00278769	0.0055476
				0.248453	0.2361	0.00489429	0.00461135
				0.25	0.237249	0.004166	0.00425686
				0.251546	0.238398	0.00390565	0.00467147
				0.25309	0.239545	0.00710145	0.00587167
				0.254634	0.240694	0.0011693	0.00663951
				0.256176	0.241844	0.00548186	0.00570667
				0.257719	0.242993	0.00348979	0.00768467
				0.25926	0.244142	0.0027914	0.00573783
				0.260801	0.245288	0.00718911	0.00500729
				0.262343	0.246429	0.00520451	0.0054189
				0.263884	0.247567	0.00764213	0.00388236
				0.265424	0.248702	0.00503073	0.00313941
				0.266964	0.249833	0.00433733	0.0062577
				0.268503	0.250958	0.00548601	0.00476231
				0.270039	0.252077	0.0051397	0.0059162
				0.271572	0.25319	0.00635142	0.00342302
				0.273101	0.254298	0.00586723	0.00510258
				0.274628	0.255402	0.00605927	0.00571801
				0.276152	0.256502	0.0062477	0.00393224
				0.277674	0.257596	0.00685192	0.00472851
				0.279194	0.258688	0.00722476	0.003021
				0.280708	0.259777	0.00525921	0.00410029
				0.282216	0.260862	0.00640003	0.00575589
				0.283719	0.261941	0.00489526	0.0050852
				0.285216	0.263012	0.00444836	0.00296773
				0.286708	0.264078	0.00474845	0.00444364
				0.288193	0.265138	0.00454721	0.00466962
				0.289672	0.266192	0.00674874	0.00474799
				0.291144	0.267239	0.00675719	0.0042855
				0.292609	0.268282	0.00463973	0.00256365
				0.294067	0.269319	0.00567592	0.00558238
				0.29552	0.270351	0.0045504	0.00557708
				0.296968	0.271378	0.00562439	0.00619328
				0.298408	0.272399	0.00491542	0.0041336
				0.299841	0.273415	0.00361824	0.00508132
				0.301265	0.274426	0.00313182	0.00249549
				0.302681	0.275433	0.0055775	0.0027728
				0.304091	0.276435	0.00458788	0.00823815
