Vm1_50b_samp	Vm1_53b_samp	Vm1_56b_samp
-0.0552281	-0.064684	-0.0583429
-0.0551433	-0.0646546	-0.0582744
-0.0551674	-0.064671	-0.0583431
-0.0551124	-0.0647038	-0.0583185
-0.0550627	-0.064683	-0.058296
-0.0550731	-0.064708	-0.0582647
-0.0549919	-0.0647078	-0.0582259
-0.0549217	-0.0647498	-0.0582316
-0.0549288	-0.0648036	-0.0582081
-0.0548378	-0.0647355	-0.0581696
-0.0548197	-0.0647393	-0.0581499
-0.0547413	-0.0646731	-0.0581285
-0.0547078	-0.0646451	-0.058086
-0.0546861	-0.0646635	-0.0581327
-0.0546308	-0.0646499	-0.0581387
-0.0546029	-0.0646858	-0.0581648
-0.054556	-0.064689	-0.0581938
-0.0545252	-0.0647465	-0.0582145
-0.0544543	-0.0647372	-0.0581904
-0.0544684	-0.0647786	-0.0581408
-0.0544097	-0.0647999	-0.0581179
-0.0544427	-0.0647902	-0.0580714
-0.0544791	-0.0647897	-0.0581024
-0.0544169	-0.064708	-0.0580867
-0.0544202	-0.064634	-0.0581525
-0.05436	-0.0646734	-0.0580757
-0.0543507	-0.0646478	-0.0580143
-0.0543878	-0.064631	-0.0579751
-0.054357	-0.0646792	-0.0579407
-0.0543224	-0.0646671	-0.0579445
-0.0542555	-0.0646363	-0.0579907
-0.054217	-0.0646207	-0.0579476
-0.0542779	-0.0646783	-0.0579457
-0.0542757	-0.0647345	-0.0579423
-0.0542344	-0.0647336	-0.0578668
-0.0542321	-0.0647034	-0.0579282
-0.0542421	-0.0647501	-0.0579172
-0.0541684	-0.064799	-0.0578827
-0.054132	-0.0647214	-0.0578595
-0.0541593	-0.0647352	-0.0578543
-0.0541107	-0.0646888	-0.0578387
-0.0541077	-0.0646847	-0.0578527
-0.0540911	-0.0646586	-0.0577402
-0.0540505	-0.064629	-0.0576506
-0.054078	-0.064661	-0.0576298
-0.0540927	-0.064675	-0.0576141
-0.0540917	-0.0646338	-0.0575768
-0.0540798	-0.0646796	-0.0575691
-0.0540582	-0.064666	-0.0575095
-0.0541434	-0.0646588	-0.057544
-0.0541532	-0.0646448	-0.0575991
-0.0541456	-0.0646366	-0.0575678
-0.0541767	-0.0646414	-0.0575471
-0.0541845	-0.0646297	-0.0575676
-0.0541262	-0.0645964	-0.0576086
-0.0541291	-0.0646137	-0.0576342
-0.0541117	-0.0646099	-0.0576543
-0.0540363	-0.0646019	-0.0577062
-0.0540552	-0.0645052	-0.0577093
-0.0541095	-0.0645162	-0.0577505
-0.0540909	-0.064512	-0.0577786
-0.0541273	-0.064519	-0.0577387
-0.0541749	-0.0645212	-0.0578004
-0.0541582	-0.0644953	-0.0578743
-0.0541169	-0.0645157	-0.057952
-0.0541399	-0.0645365	-0.0579921
-0.0541629	-0.0644876	-0.057903
-0.0541012	-0.0645506	-0.0579195
-0.0541472	-0.0645608	-0.0578875
-0.0541697	-0.0645435	-0.0578554
-0.0541852	-0.0645287	-0.0578039
-0.0541803	-0.0645702	-0.0578489
-0.0541617	-0.0645721	-0.0578954
-0.0541928	-0.0645763	-0.0578727
-0.0541866	-0.0644895	-0.0578828
-0.0542104	-0.0644617	-0.0578859
-0.054181	-0.0643906	-0.0579021
-0.0542327	-0.0643322	-0.0578825
-0.0542383	-0.0643218	-0.0578342
-0.0542111	-0.06434	-0.0578345
-0.0542856	-0.064383	-0.0578041
-0.05434	-0.0643064	-0.0578359
-0.0543798	-0.0643732	-0.0578901
-0.054416	-0.0643681	-0.0579285
-0.0543709	-0.0643284	-0.0580003
-0.0543612	-0.0643144	-0.0580456
-0.0544443	-0.0643051	-0.0581035
-0.0544624	-0.0642932	-0.0581289
-0.0544294	-0.0643338	-0.0581565
-0.0544108	-0.0643676	-0.0581175
-0.0544753	-0.0643731	-0.0581246
-0.0545691	-0.0643401	-0.0581674
-0.0544845	-0.0642761	-0.0582519
-0.0545093	-0.0642541	-0.0583047
-0.054632	-0.0641956	-0.0583592
-0.0546776	-0.0641797	-0.0583608
-0.0547103	-0.0641882	-0.0583906
-0.0547527	-0.0641606	-0.058468
-0.0548144	-0.0641252	-0.0584459
-0.0548195	-0.0640748	-0.0584232
-0.0548934	-0.0639976	-0.058531
-0.0548988	-0.0639998	-0.0586152
-0.0549394	-0.0639919	-0.0586361
-0.0549715	-0.064041	-0.0586234
-0.0550355	-0.0639985	-0.0586164
-0.055104	-0.063934	-0.0586158
-0.055191	-0.0639863	-0.0586058
-0.0552587	-0.0639612	-0.0585812
-0.0552556	-0.0639606	-0.0585945
-0.055268	-0.0639916	-0.0586064
-0.055291	-0.0639829	-0.058593
-0.0553192	-0.0639535	-0.0586363
-0.0553439	-0.0640314	-0.0586616
-0.0553117	-0.0639966	-0.058686
-0.0552938	-0.0639628	-0.0587189
-0.0553098	-0.0640598	-0.0587127
-0.055272	-0.0640292	-0.0587796
-0.055257	-0.0639863	-0.0587967
-0.0552921	-0.0639402	-0.0587532
-0.0552633	-0.0639365	-0.0587358
-0.0552321	-0.0639885	-0.0586972
-0.0551911	-0.0639939	-0.0586189
-0.055164	-0.0639786	-0.058632
-0.055141	-0.0640363	-0.058644
-0.0550973	-0.0640403	-0.0586848
-0.0551127	-0.0639517	-0.0586295
-0.0551053	-0.0639467	-0.058596
-0.0550426	-0.0639879	-0.058609
-0.0550959	-0.0639322	-0.0585367
-0.055021	-0.0638974	-0.0584707
-0.054991	-0.0638604	-0.0584186
-0.0550475	-0.0638836	-0.0584154
-0.0550475	-0.0638933	-0.0584077
-0.0550073	-0.0639507	-0.0583471
-0.0550068	-0.0638923	-0.0583848
-0.0550212	-0.063874	-0.05833
-0.0549936	-0.0638986	-0.0583239
-0.0550236	-0.0638101	-0.0582754
-0.0550329	-0.0637697	-0.0582266
-0.0550659	-0.0637293	-0.0582373
-0.0551306	-0.0637962	-0.0582088
-0.0551134	-0.063769	-0.0581848
-0.0550791	-0.0636777	-0.0581285
-0.0551101	-0.0635787	-0.0581243
-0.0551472	-0.0635897	-0.0580481
-0.0551804	-0.0635661	-0.0579923
-0.0551783	-0.0635796	-0.0579675
-0.0552124	-0.0635985	-0.057902
-0.0552104	-0.0635562	-0.0579555
-0.0552523	-0.0635237	-0.057814
-0.0553126	-0.0635021	-0.057779
-0.0553811	-0.0634789	-0.0577501
-0.0554212	-0.0634298	-0.057723
-0.0554123	-0.063404	-0.0576162
-0.05545	-0.0634366	-0.0575269
-0.0554417	-0.0634092	-0.0574458
-0.0554594	-0.063358	-0.0574463
-0.0555008	-0.0633497	-0.0574604
-0.0555482	-0.0633303	-0.0574645
-0.0556102	-0.0633049	-0.0574058
-0.0556167	-0.0632843	-0.057392
-0.0556136	-0.0632359	-0.0573442
-0.0557219	-0.0632432	-0.0573309
-0.0557614	-0.0632892	-0.0572773
-0.0557456	-0.0633	-0.0572318
-0.0557397	-0.0632439	-0.0572247
-0.0556894	-0.0632362	-0.0571581
-0.0557013	-0.0631714	-0.0571928
-0.0557119	-0.0631412	-0.0571456
-0.0556988	-0.0631729	-0.0570894
-0.0556728	-0.0631341	-0.0570948
-0.0557283	-0.0631256	-0.0570647
-0.0556874	-0.063219	-0.0570284
-0.0557339	-0.0632063	-0.0569977
-0.0556799	-0.0632166	-0.0569701
-0.0556319	-0.06324	-0.0569351
-0.0556101	-0.0632063	-0.0568819
-0.0555915	-0.0631491	-0.056842
-0.0555679	-0.0631306	-0.0568464
-0.0555276	-0.0631232	-0.0568416
-0.0555403	-0.0630755	-0.0567953
-0.0555238	-0.0630153	-0.0567772
-0.0555427	-0.0629638	-0.0567024
-0.055559	-0.0629353	-0.0566809
-0.0555557	-0.0629457	-0.0566257
-0.0555224	-0.0628874	-0.0565128
-0.0554796	-0.0628277	-0.0564813
-0.0554561	-0.0628164	-0.0564962
-0.0554935	-0.0627868	-0.0563782
-0.0555489	-0.0627977	-0.0563936
-0.0556163	-0.0628098	-0.0562584
-0.0556062	-0.0627453	-0.0561603
-0.0556207	-0.0627555	-0.0561463
-0.0556254	-0.0627511	-0.0560546
-0.0556437	-0.0627487	-0.0560615
-0.0556942	-0.0628293	-0.0560033
-0.055661	-0.0628214	-0.0559204
-0.0556499	-0.0627737	-0.0558687
-0.055661	-0.0628411	-0.055824
-0.055721	-0.0628604	-0.0557749
-0.0557651	-0.0628988	-0.0557891
-0.0557873	-0.0629003	-0.0557712
-0.0558339	-0.0629478	-0.0557229
-0.0557819	-0.063023	-0.0556304
-0.0558143	-0.0630398	-0.0556291
-0.0559088	-0.0630508	-0.0556298
-0.0559151	-0.0630501	-0.0555941
-0.0558749	-0.0631037	-0.0554978
-0.0559144	-0.0631615	-0.0555294
-0.0560436	-0.0632031	-0.0555356
-0.0560706	-0.0631888	-0.0555759
-0.0560701	-0.0631676	-0.0556568
-0.056068	-0.0631446	-0.0555229
-0.0560899	-0.0630763	-0.0555346
-0.0561589	-0.0630651	-0.0555531
-0.0561826	-0.0631258	-0.055593
-0.056177	-0.0631308	-0.0556026
-0.056221	-0.0631954	-0.055578
-0.0561883	-0.0632217	-0.0556047
-0.0562267	-0.0632203	-0.0555818
-0.0562516	-0.0632499	-0.0556384
-0.0563139	-0.0632434	-0.0556281
-0.0562916	-0.0633248	-0.0555786
-0.0562234	-0.0633933	-0.0555578
-0.0562446	-0.0634257	-0.055642
-0.056212	-0.0633957	-0.0556421
-0.056178	-0.0634221	-0.0556631
-0.0561615	-0.0633967	-0.0557417
-0.0562229	-0.063413	-0.0557732
-0.0561982	-0.0634181	-0.055766
-0.0562066	-0.0634555	-0.0557264
