t,initial_ramp,delta_ramp
-2.019,1.172412275253329,6.391318927754085
-1.972,1.113577067669162,6.642131448185594
-1.925,1.0726665413533638,6.808391598561535
-1.876,0.9990552304674623,6.917951618175778
-1.826,1.0182630434782425,6.953320725727281
-1.775,1.0291500980712556,7.04164776070602
-1.725,1.1233172768878532,7.035263517489284
-1.674,1.2582382314481748,6.9911172278521505
-1.623,1.4051777541680153,6.986175776397417
-1.575,1.563186972866923,6.966943739784156
-1.53,1.727465495259871,6.907508891794606
-1.486,1.9598708564890188,6.590663811703088
-1.44,2.0149282935599615,6.48090107878383
-1.395,1.9913565380843181,6.561047237659281
-1.352,1.98617151029746,6.706549885583428
-1.306,1.9692588264138422,6.9149291271656494
-1.258,1.94694738476624,7.266363354037168
-1.208,1.8605332625040631,7.6289438378554095
-1.158,1.6537589898659562,8.031421804511169
-1.101,1.4710769369074725,8.367110689767784
-1.043,1.3763956031382563,8.576875024517705
-0.984,1.235453040209201,8.691747499182625
-0.93,1.0062759888852426,8.595329421379432
-0.875,0.7692575841778293,8.356098496240485
-0.243,0.5480947204968913,8.101382935599766
-0.155,0.29758811703170096,7.78558888525653
-0.102,0.24396948349134107,7.203606505393822
-0.037,0.2743560477280127,6.404582674076416
0.043,0.36250426610003217,5.39791271657397
0.121,0.44617680614579314,4.30860124223598
0.19,0.4521206440013046,3.3682504086302245
0.254,0.45483287021901475,2.488893821510274
0.316,0.3469445406995675,1.9357215756783006
0.381,0.3532019777705031,1.4706850604772725
0.441,0.2800727852239291,1.2302996730957645
0.503,0.13811492317751828,1.110745537757417
0.565,0.09934581562601608,0.9862599869238267
0.639,0.18893028767570996,0.7298200392284997
0.717,0.2780623569793974,0.5958766590389075
0.811,0.3422721641059141,0.5761523046747214
0.97,0.30597951945080126,0.6024801896044281
1.258,0.2416735371036154,0.6537831971232464
1.362,0.20882407649558843,0.7284374959136812
1.464,0.1791918437397797,0.8620107224583009
1.565,0.2399963223275492,0.9390250081725995
1.665,0.38286739130434455,0.9506432494279053
1.762,0.5185514710689745,0.9966619483491215
1.864,0.5633509480222259,1.0539888198757552
2.082,0.5559689277541651,1.150546126185013
2.404,0.49444901928735163,1.360509414841431
2.5,0.3724582379862582,1.6542756783262433
2.574,0.22657726381169851,1.9337419418110358
2.644,0.10610799280811278,2.180064563582839
2.717,0.12347696959790966,2.2896443935926527
2.798,0.0061460771493955235,2.444776528277181
2.881,0.012490045766590185,2.397601732592321
3.031,0.1412504249754818,2.217425008172569
3.133,0.3065644818568245,1.9951570774762573
3.247,0.4272934782608715,1.8483634847989308
3.438,0.5246886727688747,1.7419256619810213
3.863,0.5807514710689716,1.5731102647923905
3.935,0.5897367603792034,1.4065244851258427
4.023,0.5710021085321983,1.2852887218044913
4.146,0.543205541026488,1.1744270349787271
4.274,0.6198139424648517,1.0341789146779803
4.347,0.6770378064726899,0.957879274272635
4.414,0.6165646779993423,0.9937217718208444
4.48,0.44985637463222616,1.1533606407322523
4.558,0.3715241091860051,1.3035702844066606
4.634,0.3182182902909432,1.5310593004249498
4.703,0.14905928407976887,1.875005720823772
-6.616,-0.19914039882313972,0.18671677018632948
-6.551,-0.13031342922523237,0.06711637790127867
-6.484,0.0024450866296206186,-0.0900331153971905
-6.381,0.16555208237986818,-0.30852902909447266
-6.292,0.3566207976462863,-0.5557774109185871
-6.194,0.612082713305,-0.6462866949983521
-4.026,0.9205165478914736,-0.63315534488396
-2.86,1.2475555475645592,-0.6076436417129827
-2.741,1.6230972278522273,-0.57199738476627
-2.666,2.075758849297138,-0.6650902909447467
