lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	rp1327	in_delta_vm	ind_t
0.212336	0.00109112	0.319854	0.00566704	0.257254	0.00812854	0.293971	0.00902734	0.222222			
0.214163	0.000992516	0.321347	0.00551637	0.258258	0.00795368	0.295962	0.00902081	0.223755			
0.21599	0.00121536	0.322839	0.00559593	0.259261	0.0079283	0.297952	0.00908861	0.225289			
0.217817	0.00136497	0.324331	0.00575545	0.260264	0.0081296	0.299943	0.00914377	0.226822			
0.219644	0.000903661	0.325823	0.00567098	0.261267	0.00791695	0.301933	0.00903931	0.228356			
0.22147	0.00118978	0.327316	0.0057343	0.26227	0.00800763	0.303923	0.0090754	0.229889			
0.223297	0.00132246	0.328808	0.00563841	0.263274	0.00798496	0.305914	0.00899444	0.231423			
0.225124	0.00118248	0.33026	0.00580911	0.264277	0.0080999	0.307904	0.00927396	0.232957			
0.226951	0.00130936	0.331611	0.00594454	0.26528	0.00796863	0.309895	0.009032	0.23449			
0.228778	0.00126244	0.332962	0.00560847	0.266283	0.00812039	0.311885	0.00903792	0.236024			
0.230605	0.00112031	0.334313	0.00565925	0.267286	0.00791784	0.313876	0.00897305	0.237557			
0.232432	0.000991924	0.335663	0.00566415	0.268289	0.00804327	0.315866	0.00901581	0.239091			
0.234259	0.00126652	0.337014	0.00580364	0.269293	0.00790623	0.317856	0.00899604	0.240624			
0.236086	0.00133065	0.338365	0.00572831	0.270296	0.00779693	0.319847	0.00906995	0.242158			
0.237913	0.0011247	0.339715	0.00556581	0.271299	0.00799557	0.321837	0.00919824	0.243691			
0.23974	0.00116761	0.341066	0.00548624	0.272302	0.0080121	0.323828	0.00902887	0.245225			
0.241565	0.00123017	0.342417	0.00551208	0.273305	0.00797238	0.325818	0.00912718	0.246758			
0.243388	0.00126977	0.343767	0.0056782	0.274308	0.00798916	0.327729	0.00893606	0.248292			
0.245211	0.00146738	0.345118	0.0057662	0.275312	0.00813856	0.329474	0.00922469	0.249826			
0.247033	0.00106788	0.346469	0.00568177	0.276315	0.00807359	0.331219	0.00890408	0.251357			
0.248856	0.00138291	0.347819	0.00557578	0.277318	0.00797987	0.332963	0.00935605	0.25276			
0.250679	0.00133825	0.34917	0.00564794	0.278321	0.00803375	0.334708	0.00901382	0.254134			
0.252502	0.00116384	0.350521	0.00559399	0.279325	0.00808386	0.336453	0.00916426	0.255508			
0.254325	0.00119931	0.351871	0.0055734	0.280328	0.00801694	0.338197	0.0091231	0.256882			
0.256147	0.00119002	0.353222	0.00550055	0.281331	0.0079166	0.339942	0.00908231	0.258257			
0.25797	0.00109621	0.354573	0.00560689	0.282334	0.00811266	0.341686	0.00901641	0.259631			
0.259793	0.00110358	0.355924	0.00545675	0.283337	0.0079439	0.343431	0.00906017	0.261005			
0.261616	0.00112459	0.357274	0.0057596	0.28434	0.00794993	0.345176	0.00889199	0.262379			
0.263439	0.00118535	0.358625	0.00581508	0.285343	0.00826156	0.34692	0.00905402	0.263753			
0.265262	0.00117908	0.359975	0.00557919	0.286346	0.00819751	0.348665	0.00928977	0.265127			
0.267085	0.00127861	0.361326	0.00566715	0.28735	0.00810933	0.350409	0.00894295	0.266501			
0.268908	0.00132755	0.362676	0.00556425	0.288353	0.00796017	0.352154	0.00889019	0.267876			
0.270731	0.00117206	0.363989	0.00566021	0.289356	0.00782255	0.353899	0.00893125	0.26925			
0.272553	0.00103634	0.365292	0.00580538	0.290359	0.00805658	0.355643	0.00929049	0.270624			
0.274376	0.00123405	0.366594	0.00572772	0.291362	0.00792655	0.357388	0.00884387	0.271998			
