lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	cur2_11_samp	sub	ind_delta_vm	ind_t
0.117805	0.000796749	0.0881775	0.00515359	0.123424	0.00480161	0.158023	0.00153296	0.197841	0.00151654	0.00121693	0.0082391	2.70238
0.119144	0.000847593	0.0889796	0.00530822	0.12494	0.00489338	0.160032	0.00134576	0.200012	0.00162792	-9.83E-05	0.0082435	2.80981
0.120483	0.000856339	0.0897816	0.0053284	0.126456	0.00478616	0.162041	0.00151558	0.202182	0.00140302	-0.000452951	0.0099514	2.91958
0.121821	0.000622499	0.0905837	0.0052559	0.127972	0.00490951	0.16405	0.00131012	0.204352	0.00138229	0.000562325	0.0091624	3.00696
0.12316	0.000792719	0.0913858	0.00518084	0.129488	0.00488627	0.166059	0.00148977	0.206522	0.00159844	-1.35E-05	0.0087518	3.07704
0.124498	0.000684911	0.0921879	0.00522728	0.131004	0.00499535	0.168068	0.0013261	0.208693	0.00145443	-0.000482522	0.0097917	3.15131
0.125837	0.000452978	0.0929901	0.00521627	0.13252	0.0049758	0.170077	0.0016364	0.210863	0.00119758	0.000393786	0.0091768	3.24789
0.127174	0.000643913	0.0937923	0.00534382	0.134036	0.0049199	0.172086	0.00149075	0.213033	0.00161924	-0.000630923	0.0093617	3.36086
0.12838	0.000830118	0.0945945	0.00513699	0.135517	0.00480791	0.174095	0.00159172	0.215204	0.00138118	-0.00120127	0.0093808	3.44036
0.129546	0.000776197	0.0953966	0.00523819	0.136814	0.00481495	0.176104	0.00154769	0.217374	0.00151191	-0.000450138	0.0091	3.51042
0.130712	0.000824567	0.0961987	0.00515555	0.138107	0.00494572	0.178113	0.00142547	0.219544	0.00161586	-0.000721075	0.0091509	3.57756
0.131878	0.000795553	0.0970009	0.00516284	0.139399	0.00485867	0.180122	0.00152461	0.221714	0.00153145	-0.00095075	0.0080964	3.6633
0.133044	0.00075531	0.0978031	0.00516559	0.140692	0.00484565	0.182131	0.00161151	0.223885	0.0014878	-0.000159096	0.0088524	3.78117
0.134211	0.000785693	0.0986052	0.00537243	0.141985	0.0048969	0.184094	0.0015241	0.226002	0.00159554	0.000694208	0.0094746	3.86875
0.135377	0.000819576	0.0994074	0.00513273	0.143277	0.00502222	0.185978	0.00144158	0.227948	0.00145254	-7.26E-05	0.0097215	3.98611
0.136543	0.000746645	0.10021	0.00509535	0.14457	0.00480901	0.187862	0.00149696	0.229891	0.00154635	-0.000375468	0.0100379	4.09432
0.137709	0.000721679	0.101012	0.00523536	0.145862	0.00482725	0.189745	0.00156837	0.231835	0.00141987	1.64E-05	0.0092219	4.17035
0.138875	0.000780364	0.101814	0.00515043	0.147155	0.00486549	0.191629	0.00160559	0.233778	0.0014676	-0.000869672	0.0109568	4.33596
0.140041	0.000522532	0.102616	0.00539568	0.148447	0.00486084	0.193513	0.00132968	0.235722	0.00148243			
0.141207	0.000777938	0.103418	0.00523633	0.14974	0.00492912	0.195396	0.00135676	0.237665	0.00150475			
0.142373	0.000712709	0.10422	0.00515509	0.151032	0.00478662	0.19728	0.00152729	0.239609	0.00140969			
0.14354	0.000668092	0.105022	0.00525194	0.152325	0.00483448	0.199164	0.00129941	0.241552	0.00150867			
0.144706	0.00067223	0.105806	0.00534855	0.153617	0.00485297	0.201047	0.00122082	0.243496	0.00146359			
0.145872	0.000645189	0.10646	0.00543952	0.15491	0.00487728	0.202931	0.00142943	0.245439	0.00164535			
0.147038	0.000665396	0.107108	0.00536813	0.156203	0.00472166	0.204815	0.0012733	0.247382	0.00141136			
0.148204	0.000947087	0.107756	0.005348	0.157495	0.0046269	0.206698	0.00129427	0.249326	0.00154875			
0.14937	0.000750229	0.108404	0.00518803	0.158788	0.00487437	0.208582	0.00127666	0.251269	0.00158963			
0.150537	0.00072061	0.109052	0.00517448	0.16008	0.00482726	0.210465	0.0013792	0.253213	0.0014809			
0.151703	0.000731887	0.1097	0.00547454	0.161373	0.00480505	0.212349	0.00144571	0.255157	0.00143135			
0.152869	0.000767552	0.110348	0.00530974	0.162665	0.00498818	0.214233	0.00143752	0.2571	0.00142108			
0.154035	0.000679865	0.110996	0.00534185	0.163958	0.00495641	0.216117	0.00148851	0.259044	0.0014602			
0.155202	0.000548728	0.111643	0.00534205	0.16525	0.00483204	0.217999	0.00159255	0.260987	0.00172398			
0.156368	0.000749986	0.112291	0.00531703	0.166543	0.00494698	0.219757	0.00182743	0.262931	0.00156991			
