lap4_13_samp	cur4_13_samp	lap4_14_samp	cur4_14_samp	lap4_15_samp	cur4_15_samp	lap4_16_samp	cur4_16_samp	sub2	ind_t	ind_delta_vm
0.210729	0.0036012	0.118297	0.00379459	0.112037	0.00368744	0.190268	0.00385094			
0.212848	0.00362187	0.119256	0.00377676	0.112845	0.00345149	0.191662	0.00361791			
0.214966	0.0034668	0.120215	0.00349562	0.113652	0.00353039	0.193056	0.00355478			
0.217085	0.00374388	0.121173	0.00365339	0.11446	0.00387948	0.194451	0.00371345			
0.219203	0.00375644	0.122132	0.00349451	0.11525	0.00347352	0.195845	0.00363303			
0.221322	0.00358816	0.12309	0.00359443	0.116005	0.00353526	0.197239	0.0037731			
0.223441	0.00359445	0.124049	0.0036171	0.11676	0.00372409	0.198633	0.00369705			
0.225559	0.00364462	0.125007	0.00369308	0.117515	0.0039181	0.200027	0.00367114			
0.227678	0.00374135	0.125966	0.00385942	0.11827	0.00350442	0.201421	0.00344582			
0.229797	0.00347755	0.126924	0.0034704	0.119025	0.00376939	0.202816	0.00348666			
0.231915	0.00362905	0.127883	0.00380269	0.11978	0.0039262	0.20421	0.00368207			
0.234034	0.00374755	0.128842	0.00352876	0.120535	0.00361737	0.205574	0.00354032			
0.23609	0.00352593	0.1298	0.00373573	0.12129	0.00363605	0.206733	0.00356473			
0.237908	0.0036138	0.130759	0.00363772	0.122044	0.00375089	0.207882	0.0037866			
0.239721	0.00357555	0.131717	0.00351839	0.122799	0.00360518	0.209031	0.00357836			
0.241535	0.00355062	0.132676	0.00362894	0.123554	0.00371798	0.21018	0.00364409			
0.243348	0.00373855	0.133634	0.00366942	0.124309	0.00345124	0.211328	0.00369726			
0.245162	0.00347974	0.134593	0.00363874	0.125064	0.00386003	0.212477	0.00349384			
0.246976	0.00372357	0.135551	0.00371734	0.125819	0.00361727	0.213626	0.00369701			
0.248789	0.0037729	0.13651	0.00360043	0.126574	0.00382247	0.214775	0.00367074			
0.250603	0.00385635	0.137468	0.00372621	0.127329	0.00370265	0.215924	0.00362825			
0.252416	0.00380286	0.138427	0.00360212	0.128083	0.00360946	0.217073	0.0037791			
0.25423	0.00380285	0.139385	0.0037406	0.128838	0.00367431	0.218222	0.00354728			
