cur3_37_samp	cur3_38_samp	cur3_39_samp	cur3_40_samp	lap3_37_samp	lap3_38_samp	lap3_39_samp	lap3_40_samp	rp11
-7.73312e-05	3.57717e-05	5.79958e-05	-1.79249e-05	0.221853	0.18505	0.227975	0.181889	0.0111179
-0.000203696	-0.000104103	-7.3492e-05	-0.000246734	0.224878	0.187892	0.231115	0.183958	0.0111857
-0.000248184	-0.000145466	-2.84765e-05	-0.000340032	0.227903	0.190733	0.234255	0.186028	0.0112025
3.31459e-05	-0.000131553	-0.000166906	-7.95661e-05	0.230928	0.193533	0.237395	0.188097	0.0110214
-0.000145131	-0.00028175	-0.000365337	-9.06994e-05	0.233953	0.196325	0.240536	0.190167	0.0106581
-0.00010594	8.96932e-06	-0.000174154	-3.10358e-05	0.236978	0.199116	0.243676	0.192236	0.0102904
-4.56576e-05	-0.000338145	-0.000283861	-6.79131e-05	0.240003	0.201908	0.246817	0.194306	0.0100957
-0.000215415	-0.000104371	0.000142956	-0.000192464	0.243028	0.204699	0.249957	0.196375	0.0101235
-0.000224528	-2.34213e-05	-3.78279e-05	-2.93684e-05	0.246053	0.207491	0.253077	0.198445	0.0102665
-0.000106847	-4.23258e-05	-0.000188578	1.26119e-05	0.249071	0.210283	0.256188	0.200514	0.0103426
-8.84248e-06	-0.000170837	-0.000144715	-0.00011742	0.251994	0.213074	0.259299	0.202584	0.0102175
-0.000213866	-0.000218064	-9.76551e-05	-0.000176053	0.254909	0.215866	0.26241	0.204653	0.00988948
-0.000192461	-0.000162349	-4.88537e-05	-0.000143696	0.257823	0.218657	0.265521	0.206723	0.00948256
-0.000289742	-0.000139741	-0.000180736	-0.000241476	0.260737	0.221449	0.268632	0.208792	0.00915885
-0.000156638	-0.000300063	7.89408e-05	-3.10741e-05	0.263652	0.224231	0.271742	0.210862	0.00898262
-0.00021209	-0.000229855	-0.000205995	-0.000130645	0.266566	0.226978	0.274853	0.212834	0.00889509
-0.000159335	-0.000172368	-0.00010019	-9.16893e-05	0.269481	0.229726	0.277965	0.214726	0.00878392
-0.000269286	7.66812e-05	-0.000169624	-0.000341424	0.272395	0.232473	0.281076	0.216618	0.00852582
-3.27609e-05	-0.000109907	-3.15635e-05	-0.000141918	0.27531	0.23522	0.284174	0.21851	0.00809089
-0.00017929	-6.40973e-05	-7.0513e-05	-8.73431e-05	0.278224	0.237967	0.287186	0.220401	0.00755481
-0.000336027	-0.000109634	3.55756e-05	-0.000167302	0.281139	0.240714	0.290194	0.222293	0.00706154
-4.74092e-05	-0.000169181	-0.0001014	-0.000278937	0.284007	0.243462	0.293203	0.224185	0.00666101
-0.000206043	-0.000131274	-0.000284075	3.61305e-05	0.286725	0.246209	0.296212	0.226076	0.00624968
-0.000113727	-0.000260301	-5.45621e-05	-0.000344785	0.289443	0.248956	0.299221	0.227968	0.00573916
-0.000137305	-0.000310895	-4.89345e-05	-0.000109323	0.29216	0.251703	0.302229	0.22986	0.00518547
-0.000134251	-3.39717e-05	-0.000109431	-0.000253622	0.294877	0.254451	0.305238	0.231752	0.00463179
-3.281e-05	-0.000179374	-1.75643e-05	-0.000139871	0.297595	0.257215	0.308246	0.233643	0.00396108
3.78017e-05	-0.000144795	-0.000229871	-4.84193e-05	0.300312	0.259987	0.311255	0.235535	0.00347832
-0.000169014	-0.000108564	-4.95849e-05	-0.000149858	0.30303	0.262759	0.314264	0.237427	0.00330761
-0.000169835	5.10149e-06	-3.55219e-05	7.63114e-05	0.305747	0.265531	0.317257	0.239318	0.00308559
5.09216e-05	-0.000144426	-0.00014213	-0.000207696	0.308464	0.268303	0.320174	0.24121	0.00365377
-4.8916e-05	-0.000202588	-0.000184592	-0.000275306	0.311182	0.271075	0.323088	0.243102	
-9.01546e-05	2.94502e-06	-0.00016885	-0.000106369	0.313899	0.273847	0.326003	0.244994	
-6.72548e-05	-0.000134302	-5.93684e-05	-0.00026887	0.316613	0.276619	0.328917	0.246844	
-7.83367e-05	-7.37873e-05	-0.00010895	-1.18464e-05	0.319221	0.279391	0.331832	0.248592	
8.7412e-06	-0.000140265	-0.000254032	-6.76389e-05	0.321812	0.282163	0.334746	0.25034	
-0.000191213	-0.000132874	-8.22189e-05	-1.74355e-05	0.324403	0.284935	0.337661	0.252087	
-0.000126306	-0.00024343	-9.64282e-05	-0.000122079	0.326994	0.287733	0.340575	0.253835	
-7.61217e-05	7.0926e-05	7.26631e-05	-0.000130257	0.329585	0.290566	0.343489	0.255582	
-3.0018e-05	-0.000289254	-0.000244005	-0.000229593	0.332176	0.2934	0.346404	0.25733	
-0.000129663	-0.000174622	-5.0427e-05	-0.000212804	0.334767	0.296234	0.349315	0.259077	
-0.00018035	-5.62865e-05	6.74823e-05	5.14306e-05	0.337358	0.299067	0.352184	0.260825	
-0.000125321	-0.000163489	-0.000182547	-0.00026699	0.33995	0.301901	0.355049	0.262572	
-0.000159251	-0.000141087	-7.11605e-05	-0.000217426	0.34254	0.304735	0.357915	0.26432	
-9.06071e-05	-0.000217941	-0.000140155	3.68608e-05	0.345131	0.307569	0.360781	0.266067	
-0.00011545	-9.66176e-05	-6.75213e-05	-1.45363e-05	0.347722	0.310403	0.363646	0.267815	
-0.00012566	-0.000191214	-0.000117636	3.46354e-05	0.350312	0.313236	0.366512	0.269562	
-9.0539e-05	-0.000306244	-0.00016358	-0.000186401	0.352902	0.31607	0.369377	0.27131	
-1.34938e-05	-0.000173055	-0.000128833	-5.72726e-05	0.355491	0.318963	0.372243	0.273058	
-3.75858e-05	-4.11574e-05	-0.000336102	6.30833e-05	0.358081	0.321904	0.375109	0.274805	
-0.000239593	9.14941e-06	-6.9294e-05	-0.000187614	0.36067	0.324846	0.377974	0.276553	
4.04833e-05	-5.38959e-06	-4.94453e-05	-0.000452874	0.36326	0.327787	0.38084	0.2783	
-0.000323738	3.6208e-05	-0.000317133	-8.83315e-05	0.365849	0.330729	0.383667	0.28003	
-4.73809e-05	-0.000302695	-0.000245993	-0.000105164	0.368438	0.333671	0.386466	0.281754	
-0.000175495	-9.54194e-05	-0.00011107	-7.80727e-05	0.371028	0.336612	0.389265	0.283477	
-5.71615e-05	-0.00025801	-0.000149872	3.43837e-07	0.373617	0.339554	0.392065	0.285201	
-0.000211169	-0.000278262	-0.000290586	-0.000178379	0.376207	0.342496	0.394864	0.286925	
-7.43522e-05	-0.00013617	0.000152892	-0.000195906	0.378796	0.345437	0.397663	0.288649	
-0.000154376	-0.000264695	-0.000105731	-4.70675e-05	0.381393	0.348384	0.400463	0.290373	
-7.98113e-05	-0.000349763	-0.000245948	-0.000225589	0.384005	0.351398	0.403262	0.292096	
-0.000169906	-0.000205404	-9.74013e-05	-6.23444e-05	0.386616	0.354418	0.406061	0.29382	
-0.000204649	-0.00015168	-3.10459e-05	-5.70522e-06	0.389228	0.357439	0.40886	0.295544	
3.08728e-06	-0.000135829	-0.000152978	-4.82973e-05	0.391839	0.36046	0.41166	0.297267	
-1.47782e-05	-0.000121519	-0.000189263	-9.49547e-05	0.394451	0.36348	0.414459	0.298991	
-4.61445e-06	3.25111e-05	-8.77567e-05	-2.75833e-05	0.397062	0.366501	0.417183	0.300715	
-0.00012333	-0.000130566	-4.5364e-05	-2.83347e-05	0.399674	0.369521	0.41988	0.302439	
7.54027e-06	-6.16941e-05	-0.000114842	-9.84531e-05	0.402285	0.372542	0.422578	0.304163	
-0.00021164	-0.000150991	-4.03443e-05	-0.000108404	0.404897	0.375563	0.425275	0.305886	
-0.00028692	-0.000216091	4.53499e-05	-0.000241038	0.407508	0.378583	0.427972	0.30761	
-0.000325228	2.14398e-05	-0.000145937	-0.000286831	0.41012	0.381604	0.430669	0.309334	
