lap2_9_samp	lap2_9b_samp	lap2_10_samp	lap2_11_samp	lap2_12_samp	lap2_13_samp	cur2_9_samp	cur2_9b_samp	cur2_10_samp	cur2_11_samp	cur2_12_samp	cur2_13_samp	rp48	rp1423
0.0124535	0.0183	0.0200237	0.00702837	0.054698	0.0178184	-0.000437286	-0.000471365	-0.000320166	-0.000308557	-0.000457385	-0.00048307	-0.0600452	-0.0573783
0.0132838	0.0196	0.0215274	0.00789597	0.0581952	0.0190064	-0.000472483	-0.000686623	-0.000546504	-0.000581044	-0.00058202	-0.000354902	-0.0595886	-0.0569705
0.0141141	0.0208	0.0230311	0.00876358	0.0616221	0.0201943	-0.000276477	-0.000393467	-0.000270853	-0.000278274	-0.000365806	-0.000357044	-0.0589601	-0.0572791
0.0149443	0.0217	0.0245346	0.00963118	0.0650487	0.0213822	-0.000528361	-0.000513005	-0.000250148	-0.000669797	-0.000579746	-0.000376325	-0.0598304	-0.0564297
0.0157746	0.0224	0.0260382	0.0104988	0.0684756	0.0225701	-0.000167925	-0.000410815	-0.000412191	-0.000505086	-0.000352338	-0.000376585	-0.0598577	-0.0565454
0.0166048	0.0232	0.0275418	0.0113664	0.0719023	0.0237581	-0.000523101	-0.000268651	-0.000454463	-0.000494343	-0.000381188	-0.000646711	-0.0596968	-0.0565873
0.017435	0.024	0.0290455	0.012234	0.0753289	0.024946	-0.000496129	-0.000407585	-0.000386554	-0.000329254	-0.000459127	-0.000220819	-0.059435	-0.0560412
0.0182652	0.0247	0.0305492	0.0131016	0.0787557	0.0261339	-0.00050041	-0.000350442	-0.000460017	-0.000526643	-0.000322502	-0.000466765	-0.0594099	-0.0558663
0.0190953	0.0255	0.0320529	0.0139691	0.0821825	0.0273218	-0.00021713	-0.000435325	-0.000599026	-0.000525608	-0.000322221	-0.000580031	-0.0590578	-0.0555713
0.0199255	0.0262	0.0335565	0.0148367	0.0856092	0.0285096	-0.000268945	-0.000578955	-0.000458151	-0.000470784	-0.000508708	-0.000498373	-0.0598637	-0.054194
0.0207558	0.027	0.0350602	0.0157043	0.0890348	0.0290024	-0.000449313	-0.000535483	-0.000277656	-0.000468114	-0.000355497	-0.000275053	-0.0591905	-0.0538456
