lap6_19_samp	lap6_20_samp	lap6_21_samp	lap6_22_samp	lap6_23_samp	lap6_24_samp	cur6_19_samp	cur6_20_samp	cur6_21_samp	cur6_22_samp	cur6_23_samp	cur6_24_samp	rp2756
0.335408	0.284098	0.370677	0.267935	0.271183	0.350619	-0.00023314	-6.31706e-05	-0.000160405	-0.000278954	-0.000262789	-0.000186699	
0.338391	0.286948	0.373997	0.270574	0.273416	0.353763	-0.000221681	-0.000161771	-0.000328045	5.35903e-06	-0.000320866	-0.000460083	
0.341376	0.289797	0.377317	0.273213	0.27565	0.356882	-0.000219936	-0.000101304	-0.000110877	-0.000282054	2.44377e-05	-0.000131464	
0.344441	0.292646	0.380636	0.275853	0.277884	0.359985	-0.000209449	-0.000152941	-0.000311123	-0.000259214	3.25294e-05	-0.000294633	
0.347523	0.295498	0.383956	0.278492	0.280118	0.363088	-0.000118863	-0.000190845	-0.00014359	-0.000203326	-0.000172716	-0.000276202	
0.350606	0.298363	0.387276	0.281131	0.282426	0.36619	-0.00021016	2.86315e-06	8.61929e-06	-3.07211e-05	-0.000213551	-5.5803e-05	
0.353688	0.301228	0.390595	0.283771	0.284909	0.369293	-0.000290268	-1.20708e-07	-0.000374103	-0.000248788	-0.000184403	-0.000500438	
0.35677	0.304092	0.393915	0.28641	0.287393	0.372396	-0.000147147	-0.000219655	-0.000184619	-7.7456e-05	-0.000155984	-9.43654e-05	
0.359853	0.306957	0.397235	0.289049	0.289877	0.375499	4.49445e-05	-0.000148133	-0.000263531	-0.000277924	-0.000249372	-0.00027101	
0.362935	0.309822	0.400517	0.291688	0.292361	0.378601	-0.000213536	-3.0301e-06	-0.000221398	-0.000217468	-1.80416e-05	-0.000317683	
0.366018	0.312686	0.403746	0.294314	0.294845	0.381704	-4.89204e-05	-0.000287794	-6.43746e-05	-0.000295792	-0.000179617	-0.000268572	
0.3691	0.315551	0.406975	0.296926	0.297329	0.384807	-0.000130028	-0.000245015	-0.000227081	-0.000110598	-0.00017426	-0.000155637	
0.372186	0.318415	0.410204	0.299539	0.299813	0.387921	-9.86849e-05	-0.000371021	-0.000174391	-0.000243266	-0.000192309	-0.000330466	
0.375376	0.32128	0.413433	0.302151	0.302297	0.391053	-0.000186095	-0.000149734	-0.000186478	-0.00027143	-0.000171901	-0.000289357	
0.378584	0.324145	0.416663	0.304764	0.304781	0.394185	-6.94677e-05	-0.000100663	-0.000344631	-0.000493019	-0.000263362	-0.00043587	
0.381791	0.327008	0.419892	0.307376	0.307265	0.397317	-0.000155761	-0.000285691	-0.000225072	-8.60205e-05	-0.000418735	-0.000156062	
0.384998	0.329841	0.423121	0.309989	0.309749	0.400449	-0.000193612	-0.000218107	-9.24398e-05	-0.000311063	-0.000299937	-0.000354125	
0.388206	0.33267	0.42635	0.312601	0.312233	0.40358	-0.000244391	-0.00022841	-3.46302e-05	-0.00037966	-0.000275632	-3.34676e-05	
0.391413	0.3355	0.429579	0.315214	0.314713	0.406712	-8.62541e-05	-0.000172885	-7.80718e-05	-0.000267052	-0.000234335	-0.000181021	
0.39462	0.33833	0.432789	0.317826	0.317112	0.409844	-0.000194989	-0.000158393	-0.000246153	-0.000201665	-0.000221816	-0.000397322	
0.397828	0.34116	0.435962	0.320439	0.319501	0.412976	-0.00035779	-0.000221898	-0.000286636	-0.000337888	-0.000265718	-0.000351406	
0.401035	0.343989	0.439136	0.323051	0.321889	0.416107	-0.000468029	-0.000255997	-0.000269497	-0.000172881	-0.000249384	-0.000563238	
0.404303	0.346819	0.442309	0.325667	0.324278	0.41927	-0.000222839	-0.000210334	-0.000421548	-0.000113519	-0.0002639	-0.000333407	
0.407666	0.349649	0.445482	0.328291	0.326667	0.422475	-0.000104087	-0.000315393	-0.000298183	-0.000312885	-0.000273672	-7.49319e-05	
0.411029	0.352479	0.448655	0.330914	0.329055	0.42568	-0.000220995	-0.000119307	-7.79133e-05	-0.00010298	-0.000103521	-6.64127e-05	
0.414392	0.355308	0.451828	0.333538	0.331444	0.428885	-0.000371729	-0.000190719	-0.000229285	-0.000296924	-0.000196631	-0.000226224	
0.417755	0.358138	0.455002	0.336161	0.333832	0.43209	-0.00031486	-0.000250595	-0.000456324	-0.000276921	-0.000122247	-0.000201315	
0.421118	0.360942	0.458175	0.338784	0.336221	0.435295	-0.000106269	-0.000255973	-0.000216223	-0.000249395	-0.000248056	-0.000249257	
0.424481	0.363712	0.461348	0.341408	0.33861	0.438501	-4.63343e-05	-0.00024841	-0.000179479	-0.000179669	-0.000276945	-5.50723e-05	
0.427844	0.366482	0.464514	0.344031	0.340998	0.441706	-0.00026062	-5.22276e-05	-0.00026387	-0.000241307	-0.000159458	-0.000322192	
0.431206	0.369252	0.467636	0.346655	0.343387	0.444911	-0.000100512	-0.000255107	-0.000256829	-0.000288515	-0.000215746	-0.00016204	
0.434586	0.372022	0.470757	0.349278	0.345776	0.448116	-0.000382396	-0.000104949	-7.84486e-06	-0.000191913	-0.000199974	-0.000247612	
0.438045	0.374792	0.473879	0.351902	0.348151	0.45135	-0.000414533	-0.000236642	-0.000154462	-0.000179847	-5.32101e-05	-0.000209461	
0.441506	0.377562	0.477	0.354525	0.350484	0.454603	-9.87865e-05	-0.000290896	-0.000148152	-0.000178329	-0.000217307	-0.000277079	
0.444967	0.380332	0.480121	0.357146	0.352818	0.457856	-0.000312496	-0.000344375	-0.000230351	-0.000399741	-0.000312893	-0.0001239	
0.448427	0.383102	0.483242	0.359742	0.355151	0.461109	-0.000108199	-0.000244668	-0.000264687	-0.000193975	-0.000229742	-0.000165077	
0.451888	0.385872	0.486363	0.362336	0.357485	0.464362	-0.000160213	-2.44854e-05	-0.000350247	-0.000321388	-0.00034505	-0.000254067	
0.455349	0.388642	0.489485	0.36493	0.359818	0.467615	-0.000441792	-0.000278749	2.09788e-05	-0.000172163	-0.000296491	-0.000216032	
0.458809	0.391412	0.492606	0.367525	0.362152	0.470868	-0.000188827	-0.000103119	-0.000134646	-0.000340649	-0.000195545	-0.000286889	
0.46227	0.394153	0.495727	0.370119	0.364485	0.474121	-0.000204256	-0.000241511	-0.000287738	-0.000355851	-0.00025009	-0.000190153	
0.465731	0.396882	0.498834	0.372714	0.366818	0.477374	-0.000157692	-0.00026639	-0.000218572	-0.00030103	-0.00044249	-0.000295466	
0.469185	0.399611	0.501938	0.375308	0.369152	0.480628	-7.02742e-05	-0.000142964	-0.000201824	-0.000288296	-0.000163764	-0.000198561	
0.472638	0.402341	0.505042	0.377902	0.371485	0.483911	-0.000181786	-0.000266484	-0.000294164	-0.00014462	-8.70875e-05	-0.000220971	
0.476091	0.40507	0.508147	0.380497	0.373819	0.487199	-2.80052e-05	-9.66976e-05	-0.000322111	-0.0002506	-0.0002275	-0.000365926	
0.479544	0.407799	0.511251	0.383091	0.376152	0.490487	-0.000192695	-0.000229488	-0.00027569	-0.000198462	-8.06351e-05	-0.000114845	
0.482997	0.410529	0.514355	0.385686	0.378486	0.493775	-0.000246729	-0.000210208	-0.000375006	-0.000123705	-0.000146834	-0.000297444	
0.48645	0.413258	0.517459	0.38828	0.380806	0.497063	-0.000261293	-0.000240373	-0.000109252	-0.000337928	-0.000177301	-0.000415075	
0.489903	0.415988	0.520563	0.390849	0.383092	0.500351	-0.000304228	-0.000128395	-0.000131929	-0.000109356	-0.000191768	-0.000132405	
0.493356	0.418717	0.523667	0.393379	0.385378	0.503639	-0.000264335	-0.000120326	-9.27437e-05	-0.000428085	-0.000253717	-9.09581e-05	
0.496809	0.421447	0.526772	0.395909	0.387664	0.506927	-0.000107904	-0.000185518	-9.67891e-05	-0.000228994	-0.00037989	-0.000265112	
0.500229	0.424175	0.529884	0.39844	0.38995	0.510215	-0.000233721	-0.000257592	-0.00046058	-0.000100896	-0.000181042	-0.000129308	
0.503607	0.426893	0.533003	0.40097	0.392236	0.513522	-0.000265519	-0.000118338	-0.000264544	-0.000119983	-0.000174059	-0.000278538	
0.506986	0.429609	0.536121	0.4035	0.394521	0.516866	-0.000224574	-0.000167721	-0.000188795	-0.000222608	-0.000304401	-0.000163796	
0.510364	0.432326	0.53924	0.40603	0.396807	0.520211	-0.000150186	-5.7655e-05	-0.000392378	-0.000164214	-4.79938e-05	-0.000312071	
0.513743	0.435042	0.542358	0.408561	0.399093	0.523556	-0.00023097	-0.000477731	-0.000485784	-0.000168803	-0.000443228	-0.000239996	
0.517121	0.437758	0.545477	0.411091	0.401378	0.526901	-0.000310088	-0.000352878	-0.000153984	-0.000144187	-0.000211787	-0.000357982	
0.5205	0.440475	0.548595	0.413621	0.403664	0.530245	-0.000253866	-0.000235645	-0.000223285	-0.000194666	-0.000293852	-0.000310651	
0.523879	0.443191	0.551714	0.416152	0.40595	0.533589	-0.000125381	-0.000432919	-0.000201816	-0.000190047	-0.000379044	-0.000109365	
0.527257	0.445907	0.554832	0.418682	0.408236	0.536934	-0.000210755	-7.22348e-05	-0.000327755	-0.000115005	-0.000188156	-0.000339221	
0.530635	0.448624	0.557951	0.421212	0.410522	0.540279	-0.000182969	-0.000102974	-0.000103113	-0.000345696	-0.000341732	-0.000134495	
0.533966	0.45134	0.561074	0.423719	0.412807	0.543623	-0.00014629	-7.63057e-05	-0.000153402	-6.83458e-05	-0.000357575	-0.000185443	
0.537285	0.454056	0.564206	0.42621	0.415032	0.546971	-0.000310672	-0.000118265	-0.000347614	-0.000120731	-0.000216171	-9.16526e-05	
