lap3_7_samp	lap3_8_samp	lap3_9_samp	lap3_10_samp	lap3_11_samp	lap3_12_samp	rp1	cur3_8_samp	cur3_9_samp	cur3_10_samp	cur3_11_samp	cur3_12_samp
0.0791397	0.0677197	0.19302	2.90E-05	0.0154472	0.112348	-0.0605592	-0.000630602	-0.000768304	-0.000924011	-0.00103055	-0.000937956
0.0801719	0.0686912	0.195853	2.94E-05	0.0162478	0.113596	-0.0602512	-0.000611858	-0.00104485	-0.000902078	-0.000850472	-0.000823136
0.0812041	0.0696625	0.198687	2.97E-05	0.0170483	0.114845	-0.0609567	-0.000874927	-0.000870585	-0.00102288	-0.00108161	-0.000692813
0.0822363	0.070634	0.201521	3.01E-05	0.0178489	0.116094	-0.0612145	-0.000883206	-0.000864498	-0.00111957	-0.000729595	-0.000886413
0.0832686	0.0716053	0.204354	3.06E-05	0.0186494	0.117342	-0.0609489	-0.000850331	-0.00099855	-0.000912174	-0.000867293	-0.00101857
0.0843008	0.0725767	0.207188	3.10E-05	0.01945	0.118591	-0.0610254	-0.000927956	-0.000801758	-0.000855796	-0.000847451	-0.000799021
0.0853331	0.0735481	0.210005	3.15E-05	0.0202505	0.11984	-0.0610145	-0.000604062	-0.000896617	-0.000916142	-0.000717299	-0.000776239
0.0863654	0.0745195	0.212796	3.19E-05	0.0210511	0.121088	-0.0608579	-0.00105431	-0.000975158	-0.000974458	-0.000759887	-0.000710925
0.0873976	0.075491	0.215587	3.24E-05	0.0218517	0.122337	-0.0610742	-0.000754787	-0.000676292	-0.000776154	-0.000938606	-0.000835416
0.0884298	0.0764624	0.218379	3.28E-05	0.0227373	0.123585	-0.0611826	-0.001103	-0.000948763	-0.000676729	-0.000801832	-0.000889719
0.0894621	0.0774338	0.22117	3.33E-05	0.0238759	0.124834	-0.0608588	-0.000965477	-0.000957626	-0.000813085	-0.000802953	-0.000859548
0.0904943	0.0784052	0.223961	3.37E-05	0.0250164	0.126083	-0.0606659	-0.000813102	-0.000827171	-0.000860772	-0.000933016	-0.000719946
0.0915266	0.0793766	0.226753	3.41E-05	0.026157	0.127332	-0.061025	-0.000961775	-0.000783909	-0.000771122	-0.000907248	-0.000877333
0.0925588	0.080348	0.229544	3.45E-05	0.0272975	0.12858	-0.0609491	-0.000834763	-0.000742409	-0.000523843	-0.000839721	-0.000742372
0.093591	0.0813194	0.232335	3.49E-05	0.0284381	0.129829	-0.0608355	-0.000861145	-0.00101469	-0.000914318	-0.000706587	-0.000827265
0.0946232	0.0822909	0.235126	3.52E-05	0.0295786	0.131078	-0.0611483	-0.00114784	-0.000748783	-0.000635117	-0.000829036	-0.00100542
0.0956555	0.0832623	0.237918	3.57E-05	0.0307192	0.132326	-0.0616523	-0.000763812	-0.000653062	-0.000692312	-0.0009766	-0.00110301
0.0966877	0.0842338	0.240709	3.61E-05	0.0318598	0.133575	-0.0619567	-0.000921579	-0.000999345	-0.000793361	-0.000999397	-0.000897448
0.09772	0.0852051	0.243453	3.66E-05	0.0330003	0.134824	-0.0620913	-0.000874152	-0.000948073	-0.000774622	-0.00107722	-0.000764975
0.0987522	0.0861765	0.246171	3.70E-05	0.0341408	0.136073	-0.0613079	-0.00113611	-0.000812116	-0.000816169	-0.000991067	-0.000693801
0.0997844	0.087148	0.248889	3.74E-05	0.0352815	0.137321	-0.0606549	-0.000842713	-0.000865982	-0.000802162	-0.000737055	-0.000865319
0.100801	0.0881193	0.251607	5.45E-05	0.036422	0.13857	-0.0614484	-0.000877043	-0.000984599	-0.000721841	-0.000940916	-0.000912195
0.101787	0.0890907	0.254326	0.000566358	0.0375626	0.139819	-0.0612791	-0.000781928	-0.00100808	-0.000745302	-0.000858358	-0.000799058
0.102773	0.0900621	0.257044	0.00116251	0.0387032	0.141067	-0.0608348	-0.00096342	-0.00112181	-0.000770049	-0.000842033	-0.00103397
0.103759	0.0910336	0.259762	0.0017586	0.0398439	0.142316	-0.0608433	-0.000809267	-0.000996805	-0.000964814	-0.000807573	-0.000830065
0.104745	0.092005	0.26248	0.00235473	0.0409845	0.143565	-0.0597912	-0.00100671	-0.000789475	-0.000810969	-0.000768229	-0.00113858
0.105731	0.0929764	0.265198	0.00295086	0.042125	0.144813	-0.0602578	-0.000777076	-0.00103711	-0.000813142	-0.000725432	-0.000784727
0.106716	0.0939478	0.267916	0.00354703	0.0432656	0.146062	-0.0608693	-0.000883703	-0.000674719	-0.000706232	-0.000847542	-0.000774133
0.107702	0.0949192	0.270634	0.00414307	0.0444062	0.147311	-0.0604746	-0.000725137	-0.000616746	-0.000824673	-0.000796817	-0.000579509
0.108688	0.0959233	0.273352	0.00473923	0.0455468	0.14856	-0.0600806	-0.000851623	-0.000812981	-0.000970303	-0.000826896	-0.000787302
0.109674	0.0969848	0.276025	0.00533542	0.0466873	0.149808	-0.0602673	-0.00097911	-0.0010419	-0.000733615	-0.00101603	-0.000707703
0.11066	0.0980465	0.278652	0.00593168	0.0478279	0.151049	-0.061238	-0.000796616	-0.00089715	-0.000875163	-0.000831484	-0.000722776
