lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	rp111
0.123534	0.123242	0.347525	0.174888	0.268543	-0.0013983	-0.00120494	-0.00134151	-0.00136933	-0.00119364	-0.000586219
0.125147	0.124656	0.351332	0.176636	0.271748	-0.00125594	-0.00125721	-0.00116096	-0.00120944	-0.00124051	-0.000120234
0.126823	0.12607	0.355141	0.178383	0.274954	-0.00136457	-0.00123978	-0.00146023	-0.00138843	-0.00134432	8.03433e-05
0.128627	0.127484	0.35895	0.18013	0.278159	-0.00142234	-0.00132141	-0.00142133	-0.00137728	-0.00126545	-1.92598e-06
0.130432	0.128898	0.362758	0.181878	0.281364	-0.00129284	-0.0012414	-0.00142028	-0.00124134	-0.0013583	0.00054865
0.132237	0.130313	0.366567	0.183625	0.284569	-0.00134636	-0.00131258	-0.00128364	-0.00132749	-0.00123146	0.000926301
0.134042	0.131727	0.370375	0.185262	0.287774	-0.00138454	-0.0015732	-0.00128981	-0.00100277	-0.00141168	0.000849679
0.135847	0.133141	0.374184	0.186781	0.290979	-0.00137334	-0.0014161	-0.00119318	-0.00135961	-0.00133235	0.000729263
0.137651	0.134555	0.377993	0.188299	0.294184	-0.00114027	-0.00127037	-0.00149182	-0.00117225	-0.00133998	0.000975911
0.139456	0.135969	0.381801	0.189818	0.297407	-0.00112364	-0.00133874	-0.00136153	-0.00129817	-0.00124142	0.000591911
0.141261	0.137383	0.385608	0.191336	0.300647	-0.00121542	-0.00142134	-0.00151602	-0.00117492	-0.00125264	2.26907e-05
0.143066	0.138797	0.389415	0.192854	0.303887	-0.0012669	-0.00116538	-0.00132267	-0.0011469	-0.00136257	0.00117526
0.14487	0.140211	0.393222	0.194373	0.307128	-0.00116292	-0.00120702	-0.00119978	-0.00129947	-0.00136474	0.000700478
0.146675	0.141626	0.397029	0.195891	0.310368	-0.00125621	-0.0011727	-0.00128692	-0.00135171	-0.00116236	
0.14848	0.14304	0.400836	0.19741	0.313608	-0.00123597	-0.00147401	-0.00135837	-0.00133325	-0.00139359	
0.150285	0.144454	0.404643	0.198928	0.316848	-0.00128089	-0.00148904	-0.00146167	-0.00142762	-0.00129119	
0.152089	0.145868	0.40845	0.200446	0.320088	-0.00137096	-0.00129805	-0.00139895	-0.00127948	-0.00123692	
0.153894	0.147316	0.412257	0.201965	0.323329	-0.00149703	-0.00132019	-0.00130532	-0.00127799	-0.00125967	
0.155699	0.148781	0.416079	0.203483	0.326569	-0.00138702	-0.00133434	-0.00129715	-0.00122597	-0.00146029	
0.157568	0.150247	0.419906	0.205002	0.329823	-0.00121932	-0.00147668	-0.00139284	-0.00141344	-0.00129017	
0.159479	0.151714	0.423733	0.20652	0.333084	-0.00132644	-0.00137376	-0.00116063	-0.00142534	-0.00154213	
0.16139	0.15318	0.42756	0.208039	0.336343	-0.00122286	-0.00111288	-0.00131846	-0.00140494	-0.00136142	
0.163301	0.154646	0.431387	0.209557	0.339604	-0.00126159	-0.00124016	-0.00129279	-0.00138004	-0.00119215	
0.165212	0.156112	0.435214	0.211075	0.342864	-0.00121963	-0.00131028	-0.00135439	-0.00129629	-0.00123238	
0.167123	0.157577	0.439041	0.212594	0.346124	-0.00134466	-0.00104339	-0.00125064	-0.00142711	-0.00137963	
0.169033	0.159044	0.442868	0.214112	0.349384	-0.00145055	-0.00147438	-0.00137448	-0.00134314	-0.00138901	
0.170944	0.160509	0.446708	0.215631	0.352643	-0.00118034	-0.00118232	-0.00125329	-0.00118635	-0.00134119	
0.172855	0.161975	0.45056	0.217149	0.355904	-0.0010713	-0.00143977	-0.00124343	-0.00120077	-0.00135065	
0.174766	0.163441	0.454413	0.218667	0.359163	-0.00114212	-0.00124687	-0.00122146	-0.00145597	-0.00136216	
0.176677	0.164907	0.458266	0.220106	0.36241	-0.00124829	-0.00123033	-0.00122705	-0.00127116	-0.00146497	
0.178588	0.166373	0.462118	0.221508	0.365654	-0.00115016	-0.00136739	-0.0012927	-0.00134129	-0.00126818	
0.180498	0.167839	0.465971	0.222911	0.368898	-0.00148379	-0.00141732	-0.00121489	-0.00135865	-0.00131013	
0.182409	0.169305	0.469823	0.224314	0.372142	-0.00119348	-0.00137515	-0.00132926	-0.00134343	-0.0013564	
0.18432	0.170771	0.473676	0.225716	0.375386	-0.00129091	-0.00132123	-0.00124291	-0.00141524	-0.00123418	
0.186231	0.172237	0.477532	0.227119	0.37863	-0.00133876	-0.00140124	-0.00123902	-0.00135782	-0.00132783	
0.188142	0.173703	0.481397	0.228522	0.381875	-0.00156602	-0.00148146	-0.00109949	-0.00133977	-0.00149198	
0.190054	0.175253	0.485263	0.229924	0.385119	-0.00136063	-0.00134638	-0.00140346	-0.00110055	-0.00117766	
0.191967	0.176914	0.489129	0.231327	0.388363	-0.00118098	-0.0015656	-0.00124489	-0.00116574	-0.00136754	
0.193879	0.178575	0.492995	0.23273	0.39161	-0.00132529	-0.00137251	-0.00131241	-0.00155981	-0.00122831	
0.195791	0.180237	0.49686	0.234132	0.394873	-0.00130315	-0.00136124	-0.00142073	-0.00137139	-0.00132317	
0.197704	0.181898	0.500726	0.235535	0.398137	-0.00142918	-0.00139027	-0.00126859	-0.00138063	-0.00150736	
0.199616	0.183559	0.504592	0.236938	0.401401	-0.00140617	-0.00151731	-0.00133183	-0.00145406	-0.00132487	
0.201528	0.185221	0.508458	0.238341	0.404665	-0.00128986	-0.00136292	-0.00114581	-0.0013863	-0.00116302	
0.20344	0.186882	0.512333	0.239743	0.407929	-0.00125264	-0.00123079	-0.00126798	-0.00122674	-0.00126546	
0.205352	0.188543	0.516208	0.241146	0.411193	-0.00143958	-0.00126309	-0.00120308	-0.00122196	-0.00126738	
0.207265	0.190205	0.520083	0.242549	0.414457	-0.00142649	-0.00128969	-0.00134456	-0.00116409	-0.00135587	
0.209177	0.191866	0.523959	0.243951	0.417721	-0.00125332	-0.00131091	-0.0014626	-0.0012972	-0.00130358	
0.211089	0.193527	0.527834	0.245354	0.420985	-0.00138503	-0.00127297	-0.00139955	-0.00120105	-0.00132855	
0.213001	0.195189	0.531709	0.246757	0.424251	-0.00148429	-0.0014291	-0.00143168	-0.00135601	-0.00133717	
0.214914	0.19685	0.535585	0.24816	0.427522	-0.0014328	-0.00119846	-0.00130606	-0.00138813	-0.00130552	
0.216826	0.198511	0.53946	0.249562	0.430792	-0.00136883	-0.00131444	-0.00143148	-0.00129271	-0.00144839	
0.218738	0.200173	0.543303	0.25097	0.434063	-0.00137948	-0.00126831	-0.00132173	-0.00132904	-0.00134535	
0.22065	0.201834	0.547126	0.252393	0.437334	-0.00122979	-0.00130347	-0.00129755	-0.0014011	-0.00133281	
0.222556	0.203534	0.55095	0.253815	0.440605	-0.00132808	-0.00125789	-0.00109778	-0.00134967	-0.00124565	
0.224349	0.205385	0.554773	0.255238	0.443875	-0.00132681	-0.00132352	-0.0013955	-0.00118656	-0.00150677	
0.22613	0.207238	0.558597	0.25666	0.447146	-0.00140861	-0.00134427	-0.00138066	-0.00125713	-0.00133677	
0.227911	0.209091	0.56242	0.258083	0.450416	-0.0014268	-0.0013505	-0.00124103	-0.00124425	-0.00128041	
0.229693	0.210944	0.566243	0.259506	0.453687	-0.00122878	-0.00138598	-0.00132639	-0.00131029	-0.0013211	
0.231474	0.212797	0.570067	0.260928	0.456977	-0.00122829	-0.00128349	-0.00125314	-0.00144693	-0.00135321	
0.233255	0.21465	0.57388	0.262351	0.460277	-0.00130192	-0.00133985	-0.00132695	-0.00121062	-0.00133029	
0.235037	0.216503	0.577624	0.263773	0.463578	-0.00133092	-0.00123701	-0.0014995	-0.00138	-0.00126479	
0.236818	0.218356	0.581365	0.265196	0.466878	-0.00120674	-0.0013003	-0.00127522	-0.00143789	-0.00126561	
0.238599	0.220209	0.585106	0.266618	0.470179	-0.00135048	-0.00126266	-0.00129725	-0.00127606	-0.00121304	
0.24038	0.222062	0.588846	0.268041	0.473479	-0.00132739	-0.00146412	-0.0013504	-0.00137554	-0.00121239	
0.242161	0.223915	0.592587	0.269463	0.47678	-0.00117934	-0.0011002	-0.00128012	-0.00121281	-0.00136251	
0.243943	0.225768	0.596328	0.270886	0.48008	-0.0012868	-0.00125671	-0.00139841	-0.00130599	-0.00135171	
0.245724	0.227621	0.600069	0.272308	0.483381	-0.00144504	-0.00125609	-0.00121276	-0.00133295	-0.00114558	
0.247505	0.229474	0.60381	0.273731	0.486681	-0.00145648	-0.00128021	-0.00116358	-0.0012405	-0.00135362	
0.249287	0.231327	0.607519	0.275153	0.489908	-0.00145809	-0.00132746	-0.00160189	-0.00142239	-0.00132618	
0.251068	0.233185	0.611148	0.276576	0.493069	-0.00121812	-0.00152007	-0.0014685	-0.00132381	-0.00135705	
0.252849	0.235141	0.614776	0.277998	0.49623	-0.00134724	-0.00133703	-0.00129488	-0.00138653	-0.00138636	
0.25463	0.237108	0.618405	0.279554	0.499391	-0.00137693	-0.0013867	-0.00144611	-0.00140411	-0.00138616	
0.256411	0.239076	0.622034	0.281184	0.502551	-0.00144673	-0.00124722	-0.00141366	-0.00124541	-0.00139735	
0.258192	0.241043	0.625663	0.282813	0.505712	-0.00127286	-0.00149132	-0.0013341	-0.00141838	-0.00145864	
0.259868	0.24301	0.629291	0.284443	0.508873	-0.0013935	-0.00127455	-0.00125623	-0.00142041	-0.00127366	
0.261426	0.244977	0.63292	0.286072	0.512033	-0.00113769	-0.00153218	-0.00139562	-0.00146203	-0.0014586	
0.262984	0.246944	0.636549	0.287702	0.515194	-0.00129741	-0.00121391	-0.00116276	-0.00133575	-0.00144545	
0.264542	0.248912	0.640166	0.289332	0.518354	-0.0012862	-0.0013639	-0.00119544	-0.00137929	-0.00137194	
0.2661	0.250879	0.643616	0.290961	0.521513	-0.00164393	-0.00129447	-0.00132642	-0.00139904	-0.00101023	
0.267658	0.252846	0.647051	0.292591	0.524531	-0.00119485	-0.00134781	-0.00125822	-0.00129778	-0.00125223	
0.269217	0.254813	0.650486	0.29422	0.52751	-0.00130934	-0.00136935	-0.00116737	-0.00126876	-0.00104878	
0.270775	0.25678	0.653921	0.29585	0.530489	-0.00124272	-0.00119369	-0.00140134	-0.00126542	-0.00126059	
0.272333	0.258747	0.657356	0.29748	0.533468	-0.00142079	-0.00128903	-0.00146658	-0.00124185	-0.0011746	
0.273891	0.260714	0.660791	0.29911	0.536447	-0.00137701	-0.00107774	-0.00113669	-0.00122753	-0.00133997	
0.275449	0.262681	0.664226	0.300739	0.539425	-0.00139932	-0.0013672	-0.00128514	-0.00128489	-0.00140434	
0.277007	0.264661	0.667661	0.302369	0.542404	-0.00130203	-0.00139781	-0.00123568	-0.00147895	-0.00134023	
0.278566	0.266689	0.671096	0.303998	0.545383	-0.00104549	-0.00129289	-0.00131193	-0.00148254	-0.00137754	
0.280124	0.268719	0.674494	0.305628	0.548362	-0.00117469	-0.00143523	-0.00142078	-0.00135191	-0.00145968	
0.281682	0.270748	0.677782	0.307258	0.551341	-0.00137021	-0.00129312	-0.00123614	-0.00124971	-0.00115668	
0.28324	0.272777	0.68107	0.308897	0.55432	-0.00126111	-0.00131946	-0.00118816	-0.00134544	-0.00133335	
0.284798	0.274806	0.684357	0.310611	0.557221	-0.00143588	-0.00138422	-0.00126292	-0.00133738	-0.00136021	
0.286356	0.276836	0.687644	0.31233	0.560053	-0.00128557	-0.00139441	-0.00139452	-0.00134713	-0.00119678	
0.287914	0.278865	0.690932	0.314048	0.562885	-0.00144363	-0.00149492	-0.00134424	-0.00123999	-0.00149122	
0.289472	0.280894	0.694219	0.315767	0.565717	-0.00135886	-0.00115689	-0.00131488	-0.00152856	-0.00139493	
0.291031	0.282923	0.697507	0.317486	0.568549	-0.00134254	-0.00133159	-0.00150213	-0.00147796	-0.00131141	
0.292589	0.284953	0.700794	0.319205	0.571381	-0.00119251	-0.00138361	-0.00129894	-0.00115606	-0.00122783	
0.294147	0.286982	0.704081	0.320923	0.574213	-0.00141063	-0.00127602	-0.00141419	-0.00134651	-0.00145645	
0.295705	0.289011	0.707356	0.322642	0.577045	-0.00154482	-0.00137873	-0.00124143	-0.00135648	-0.00130217	
0.297261	0.29104	0.710486	0.324361	0.579877	-0.00147723	-0.00139762	-0.00134879	-0.0014167	-0.00134421	
0.298617	0.293069	0.713606	0.326079	0.582709	-0.00137214	-0.00100257	-0.00137513	-0.00125733	-0.0013611	
0.29991	0.295098	0.716726	0.327798	0.585541	-0.00131576	-0.00131028	-0.00123187	-0.0013793	-0.00142984	
0.301203	0.297126	0.719846	0.329517	0.588373	-0.00137469	-0.00121464	-0.00137002	-0.00140791	-0.00153782	
0.302496	0.299151	0.722965	0.331235	0.591141	-0.00126565	-0.00145108	-0.00128521	-0.0013009	-0.00128336	
0.303789	0.301176	0.726085	0.332954	0.593754	-0.00146226	-0.0013758	-0.0012702	-0.00137614	-0.00137245	
0.305082	0.303201	0.729205	0.334673	0.596366	-0.00127538	-0.00115638	-0.00137332	-0.00137503	-0.00134418	
0.306374	0.305226	0.732325	0.336391	0.598978	-0.00140169	-0.00146015	-0.00122021	-0.00129669	-0.00147284	
0.307667	0.307251	0.735444	0.33811	0.601591	-0.00136675	-0.00136348	-0.0013922	-0.00135638	-0.00130228	
0.30896	0.309276	0.738564	0.339829	0.604203	-0.00114862	-0.00134887	-0.00136891	-0.00133572	-0.00127625	
0.310253	0.311301	0.74165	0.341547	0.606815	-0.00119961	-0.00131068	-0.00145125	-0.00118751	-0.00132645	
0.311546	0.313326	0.744603	0.343266	0.609428	-0.00135246	-0.00144101	-0.00145028	-0.00146325	-0.00147073	
0.312838	0.315351	0.747554	0.344915	0.61204	-0.0013124	-0.00137674	-0.00140789	-0.00126855	-0.00132097	
0.314131	0.317376	0.750505	0.346463	0.614653	-0.00149727	-0.00116962	-0.00150743	-0.00132824	-0.00148715	
0.315424	0.319401	0.753456	0.34801	0.617265	-0.00122625	-0.00127196	-0.00133174	-0.00130149	-0.00136359	
0.316717	0.321426	0.756407	0.349557	0.619877	-0.001374	-0.00142556	-0.00140528	-0.00141694	-0.00142474	
0.31801	0.323451	0.759358	0.351104	0.62249	-0.00136275	-0.00120102	-0.00108436	-0.00132538	-0.00151356	
0.319302	0.325476	0.76231	0.352651	0.625102	-0.00131618	-0.00129279	-0.00130512	-0.00136944	-0.00129624	
0.320595	0.327501	0.765261	0.354198	0.627583	-0.00132006	-0.00140376	-0.00136356	-0.00140947	-0.00135719	
0.321888	0.329526	0.768212	0.355745	0.629885	-0.00117478	-0.00146157	-0.00126099	-0.0010464	-0.00126378	
0.323181	0.331483	0.771163	0.357292	0.632187	-0.00118173	-0.00125665	-0.00151157	-0.0013654	-0.0015038	
0.324474	0.333367	0.774111	0.358839	0.634489	-0.00153617	-0.0013353	-0.00127117	-0.00141373	-0.0011339	
0.325766	0.33525	0.776954	0.360386	0.636791	-0.00138446	-0.00119556	-0.00123918	-0.00120418	-0.00121733	
0.327059	0.337133	0.779778	0.361933	0.639093	-0.00132742	-0.00129644	-0.00131272	-0.00137139	-0.00143608	
0.328352	0.339016	0.782603	0.36348	0.641395	-0.0015025	-0.00132541	-0.00122207	-0.00147915	-0.00141464	
0.329644	0.3409	0.785428	0.365027	0.643697	-0.0011069	-0.00121373	-0.00127401	-0.00161968	-0.00129625	
0.330937	0.342783	0.788253	0.366574	0.645999	-0.00130669	-0.00123978	-0.00137974	-0.00127583	-0.00136258	
