lap2_9_samp	lap2_10_samp	lap2_11_samp	lap2_12_samp	lap2_13_samp	cur2_9_samp	cur2_10_samp	cur2_11_samp	cur2_12_samp	cur2_13_samp	rp1631	rp16312
0.0528845	0.0431474	0.0402059	0.0236651	0.0320176	-0.000815891	-0.000597833	-0.000595764	-0.000816196	-0.000708705	-0.0569587	-0.0559065
0.0546654	0.0448429	0.0417152	0.0245715	0.0331776	-0.000811538	-0.000498773	-0.000801624	-0.000497814	-0.000606254	-0.0572186	-0.0571055
0.0564461	0.0465383	0.0432246	0.0254779	0.0343378	-0.000820814	-0.000596535	-0.000499652	-0.000648768	-0.000834039	-0.0574589	-0.0575863
0.0582269	0.0482338	0.0447452	0.0263842	0.0354978	-0.000805302	-0.000285354	-0.000641565	-0.000719133	-0.000683661	-0.057661	-0.0574034
0.0600078	0.0499293	0.0462949	0.0272905	0.036658	-0.000784223	-0.000602193	-0.000605511	-0.000788938	-0.000836848	-0.0576513	-0.0574283
0.0617886	0.0516247	0.0478445	0.028197	0.0378181	-0.00088867	-0.000708133	-0.000644126	-0.000551283	-0.000540697	-0.0579268	-0.0579266
0.0635694	0.0533202	0.0493942	0.0291034	0.0389782	-0.000889456	-0.000588382	-0.000701876	-0.00058408	-0.00060805	-0.0579415	-0.0579878
0.0653502	0.0550158	0.0509439	0.0300098	0.0401381	-0.000625718	-0.000792957	-0.000591975	-0.000362122	-0.000616565	-0.0581603	-0.0576952
0.0671311	0.0567111	0.0524935	0.0309161	0.0412982	-0.000477676	-0.000279227	-0.000457154	-0.000743504	-0.000940572	-0.0586451	-0.0576975
0.0689121	0.0584066	0.0540431	0.0318225	0.0424583	-0.000452488	-0.000748494	-0.000859578	-0.000596314	-0.000584765	-0.0589561	-0.0581803
0.0706931	0.0601022	0.0555929	0.0327289	0.0436184	-0.00077936	-0.000716552	-0.000815517	-0.000629541	-0.000965556	-0.0585566	-0.0586425
0.0724739	0.0617978	0.0571426	0.0336354	0.0447795	-0.000988745	-0.000709671	-0.00050671	-0.000825963	-0.00048153	-0.0586175	-0.0589147
0.0742547	0.0634934	0.0586924	0.0345419	0.0460488	-0.000462737	-0.000592233	-0.000759444	-0.000539915	-0.000745744	-0.0589542	-0.0588201
0.0760356	0.0651888	0.0602421	0.0354483	0.0473295	-0.000761311	-0.000451976	-0.000725213	-0.000983684	-0.000809619	-0.0595548	-0.0579596
0.0777784	0.0668843	0.0617919	0.0363547	0.0486103	-0.000688342	-0.000903558	-0.000762079	-0.000867596	-0.00070706	-0.0595377	-0.0583864
0.0793679	0.0685798	0.0633416	0.0372611	0.0498911	-0.000811201	-0.000646062	-0.000740382	-0.000864042	-0.000594494	-0.059654	-0.0587727
0.0809572	0.0702752	0.0648912	0.0381676	0.0511719	-0.00041836	-0.000861206	-0.000849989	-0.00085988	-0.000689013	-0.0602996	-0.0594674
0.0825465	0.0719707	0.0664409	0.0391423	0.0524526	-0.00064673	-0.000656349	-0.00074468	-0.000656578	-0.000629687	-0.060281	-0.0597464
0.0841358	0.0736461	0.0679906	0.0402858	0.0537334	-0.000500546	-0.000786175	-0.000770037	-0.00041245	-0.000500313	-0.0601135	-0.0596251
0.0857251	0.0752882	0.0695404	0.0414293	0.0550142	-0.000485693	-0.000551484	-0.000430555	-0.000436418	-0.000349385	-0.0604547	-0.0597254
0.0873144	0.0769303	0.0710901	0.0425728	0.056295	-0.000621624	-0.000702139	-0.000510403	-0.000555731	-0.000885121	-0.0610295	-0.0603636
0.0889038	0.0785725	0.0726399	0.0437162	0.0575758	-0.00055191	-0.000925208	-0.000616107	-0.000702975	-0.000744332	-0.0613136	-0.0603655
0.0904931	0.0802147	0.0741896	0.0448597	0.0588564	-0.000472985	-0.000560018	-0.000715242	-0.000650114	-0.000609502	-0.0613838	-0.0598909
0.0920824	0.0818568	0.0757411	0.0460034	0.0601371	-0.000615718	-0.000687071	-0.000981125	-0.000702428	-0.000732838	-0.0613094	-0.059922
0.0936717	0.0834989	0.0773195	0.0471468	0.0614179	-0.000917049	-0.000461627	-0.000662879	-0.000706878	-0.0010198	-0.0609144	-0.0599949
