lap2_47_samp	lap2_48_samp	lap2_49_samp	lap2_50_samp	lap2_51_samp	Smth2_47_samp	Smth2_48_samp	Smth2_49_samp	Smth2_50_samp	Smth2_51_samp	rp1111
0.34949	0.259659	0.360968	0.300816	0.351814	-0.0620264	-0.0568968	-0.0557784	-0.0627779	-0.0589653	7.62679e-05
0.352992	0.262204	0.364584	0.303602	0.355517	-0.062152	-0.0569447	-0.0558574	-0.0628715	-0.0590089	-0.000560082
0.356494	0.264749	0.3682	0.306387	0.35922	-0.0622824	-0.0569968	-0.0559311	-0.0629588	-0.0590652	-0.001199
0.359996	0.267294	0.371801	0.309173	0.362923	-0.0624162	-0.0570537	-0.0560009	-0.0630406	-0.0591331	-0.001673
0.363498	0.269839	0.375377	0.311959	0.366625	-0.0625511	-0.0571148	-0.0560677	-0.063118	-0.0592118	-0.000984065
0.367	0.272385	0.378952	0.314744	0.370328	-0.0626843	-0.0571804	-0.0561308	-0.06319	-0.0593005	
0.370503	0.27493	0.382528	0.31753	0.374031	-0.0628134	-0.0572507	-0.0561901	-0.0632548	-0.0593975	
0.374005	0.277475	0.386103	0.320316	0.377734	-0.0629349	-0.057326	-0.0562466	-0.0633104	-0.0595014	
0.377507	0.28002	0.389679	0.323101	0.381435	-0.0630466	-0.0574068	-0.0563025	-0.0633568	-0.0596116	
0.380964	0.282565	0.393255	0.325857	0.385097	-0.0631461	-0.0574928	-0.0563592	-0.0633946	-0.0597267	
0.384385	0.28511	0.39683	0.328607	0.388754	-0.0632305	-0.0575829	-0.0564164	-0.0634238	-0.0598441	
0.387806	0.287655	0.400406	0.331357	0.392411	-0.0632977	-0.057676	-0.0564736	-0.0634444	-0.0599605	
0.391227	0.290022	0.403961	0.334107	0.396068	-0.063346	-0.0577711	-0.0565303	-0.0634551	-0.0600742	
0.394648	0.292168	0.407456	0.336857	0.399726	-0.063374	-0.0578673	-0.0565856	-0.0634536	-0.060183	
0.398068	0.294315	0.41095	0.339607	0.403383	-0.0633806	-0.0579645	-0.0566381	-0.0634381	-0.0602849	
0.401489	0.296461	0.414444	0.342357	0.40704	-0.0633657	-0.0580617	-0.0566872	-0.0634078	-0.0603776	
0.40491	0.298607	0.417939	0.345107	0.410698	-0.0633291	-0.0581575	-0.0567326	-0.0633627	-0.060461	
0.408331	0.300754	0.421433	0.347857	0.414351	-0.0632706	-0.0582506	-0.0567734	-0.0633044	-0.0605365	
0.411747	0.3029	0.424927	0.350607	0.417983	-0.0631908	-0.0583392	-0.0568081	-0.0632325	-0.0606048	
0.415086	0.305047	0.428421	0.353357	0.421615	-0.0630903	-0.058423	-0.0568354	-0.0631465	-0.0606655	
0.418417	0.307193	0.431915	0.356103	0.425248	-0.0629708	-0.0585007	-0.0568554	-0.0630482	-0.0607178	
0.421748	0.30934	0.435408	0.358802	0.42888	-0.0628333	-0.0585704	-0.0568682	-0.0629394	-0.0607621	
0.425079	0.311486	0.438823	0.361499	0.432512	-0.0626789	-0.0586311	-0.0568738	-0.0628214	-0.0607992	
0.428409	0.313632	0.44222	0.364195	0.436144	-0.0625092	-0.0586813	-0.0568714	-0.0626935	-0.0608289	
0.43174	0.315779	0.445618	0.366892	0.439777	-0.0623271	-0.0587197	-0.0568605	-0.062556	-0.0608515	
0.43507	0.317925	0.449015	0.369588	0.443409	-0.062136	-0.0587465	-0.0568418	-0.0624113	-0.060868	
0.438401	0.320072	0.452413	0.372285	0.447028	-0.0619392	-0.058762	-0.0568164	-0.0622624	-0.0608801	
0.441732	0.322218	0.45581	0.374981	0.450596	-0.0617406	-0.0587666	-0.0567852	-0.062112	-0.0608894	
