lap4_23_samp	lap4_23b_samp	lap4_24_samp	lap4_25_samp	lap4_26_samp	cur4_23_samp	cur4_23b_samp	cur4_24_samp	cur4_25_samp	cur4_26_samp	rp2747
0.0703752	0.0634	0.067155	0.0494257	0.0494002	-0.000381747	-0.00065478	-0.000687071	-0.000545178	-0.000370129	-0.0549523
0.073291	0.0661	0.0700248	0.051448	0.0514869	-0.000674196	-0.000658308	-0.000340411	-0.000269273	-0.000501083	-0.0548059
0.0762058	0.0687	0.0728945	0.0534703	0.0535737	-0.000462131	-0.000382789	-0.000512202	-0.000573373	-0.000583597	-0.054754
0.0791203	0.0715	0.0757642	0.0554925	0.0556604	-0.00052084	-0.000458237	-0.000513273	-0.000437866	-0.000494089	-0.054838
0.0820349	0.0742	0.0786339	0.0575147	0.0577472	-0.000577223	-0.00061634	-0.000529473	-0.000683639	-0.000567859	-0.0548446
0.0849493	0.077	0.0814978	0.059537	0.0598339	-0.000320341	-0.000453087	-0.000612119	-0.00059816	-0.000385056	-0.0546329
0.0878638	0.0798	0.0843324	0.0615499	0.0619206	-0.000599402	-0.000563082	-0.00048674	-0.000323261	-0.000577027	-0.0541043
0.0907783	0.0818	0.0871663	0.0635152	0.0640072	-0.000875037	-0.000591586	-0.000808558	-0.000542763	-0.000369061	-0.0535792
0.0936927	0.0836	0.0900001	0.0654792	0.0660939	-0.000580882	-0.000406042	-0.000355969	-0.000742767	-0.000428414	-0.0534495
0.0966071	0.0851	0.0928341	0.0674431	0.0681806	-0.000637977	-0.0003976	-0.00041156	-0.000337585	-0.000585026	-0.0536493
0.0995215	0.0867	0.0956679	0.0694072	0.0702673	-0.000615651	-0.000532803	-0.000579349	-0.000596317	-0.000591369	-0.0538451
0.102436	0.0882	0.0985017	0.0713712	0.0723732	-0.000502875	-0.000417655	-0.000484468	-0.000459082	-0.000599352	-0.0541234
0.10535	0.0897	0.101336	0.0733352	0.0745293	-0.00057534	-0.000481983	-0.000441321	-0.000815406	-0.000465703	-0.0544545
0.108228	0.0912	0.10417	0.0752991	0.0766856	-0.000411494	-0.00054647	-0.000594841	-0.000406446	-0.000493089	-0.0545956
0.111049	0.0928	0.107003	0.077263	0.078842	-0.000598861	-0.000513919	-0.000486344	-0.000304613	-0.000593999	-0.0543529
0.113869	0.0943	0.109837	0.079227	0.0809982	-0.000717094	-0.000573873	-0.000569839	-0.000567586	-0.000677726	-0.053977
0.116689	0.0958	0.112671	0.0811909	0.0831545	-0.000339514	-0.000422642	-0.000637476	-0.000474684	-0.000504172	-0.0538532
0.119509	0.0973	0.115499	0.0831547	0.0853109	-0.000410992	-0.000619719	-0.000745803	-0.000547	-0.000411908	-0.0537034
0.122329	0.0989	0.118137	0.0851187	0.0874674	-0.00072807	-0.00042773	-0.000404418	-0.000533076	-0.000487567	-0.0536946
0.125149	0.1004	0.120741	0.0870828	0.0896238	-0.000522876	-0.000480039	-0.000499275	-0.000474407	-0.000618234	-0.0540815
