lap4_30_samp	lap4_31_samp	lap4_32_samp	lap4_33_samp	lap4_34_samp	rp2529	rp3548	cur4_30_samp	cur4_31_samp	cur4_32_samp	cur4_33_samp	cur4_34_samp	rp5463	lap4_49_samp	lap4_50_samp	lap4_51_samp	lap4_52_samp	lap4_53_samp	cur4_49_samp	cur4_50_samp	cur4_51_samp	cur4_52_samp	cur4_53_samp
0.176562	0.057312	0.052021	0.0748107	0.11349	-0.0598612	-0.0561263	-0.000894718	-0.000611817	-0.00084394	-0.000977087	-0.000754486	-0.0540816	0.183531	0.0535691	0.100582	0.0548347	0.0783187	-0.00112492	-0.000774076	-0.000957143	-0.000636733	-0.000833458
0.179598	0.0584514	0.0529843	0.0758912	0.115478	-0.0603973	-0.0563714	-0.000942143	-0.000888391	-0.000884504	-0.000930198	-0.000809719	-0.05423	0.1869	0.0545677	0.102149	0.0558883	0.0798339	-0.000811551	-0.000851097	-0.000724374	-0.000860019	-0.00101918
0.182634	0.0596935	0.0539476	0.0769717	0.117466	-0.0611326	-0.0557153	-0.000946386	-0.000891081	-0.000877875	-0.00085575	-0.000656315	-0.0544459	0.190262	0.0555663	0.103716	0.0569431	0.081349	-0.000948455	-0.000764619	-0.000812879	-0.000756538	-0.000835504
0.185671	0.0609814	0.054911	0.0780522	0.119454	-0.0609978	-0.0556635	-0.000843018	-0.000729166	-0.000951281	-0.000818261	-0.000806536	-0.053423	0.193598	0.0565649	0.105283	0.0581625	0.0828641	-0.0008651	-0.000803007	-0.0007289	-0.000914067	-0.00083117
0.188707	0.0622692	0.0558743	0.0791327	0.121442	-0.0606436	-0.0563207	-0.000777012	-0.000974132	-0.000786209	-0.000769647	-0.000718554	-0.0526747	0.196934	0.0575635	0.10685	0.0594396	0.0843794	-0.000684265	-0.00100142	-0.000937787	-0.000923104	-0.0010597
0.191743	0.063557	0.0568378	0.0802131	0.12343	-0.0608901	-0.0564489	-0.000894407	-0.000897245	-0.000900974	-0.00088103	-0.00081771	-0.0534541	0.200271	0.0585621	0.108417	0.0607168	0.0858945	-0.000636017	-0.000780716	-0.00072529	-0.000716514	-0.000936058
0.194734	0.0648447	0.0578011	0.0812936	0.125418	-0.0610231	-0.0562662	-0.000679887	-0.000927627	-0.000967006	-0.000881434	-0.000924145	-0.0534761	0.203607	0.0595607	0.109984	0.0619939	0.0874096	-0.000620108	-0.000886871	-0.000777713	-0.000780846	-0.00084535
0.197636	0.0661324	0.0587645	0.0823742	0.127406	-0.0604967	-0.0557806	-0.000790994	-0.000746574	-0.0008611	-0.000554734	-0.000676325	-0.0523859	0.206943	0.0605594	0.111551	0.0632711	0.0889247	-0.000810492	-0.000953773	-0.000780263	-0.000889538	-0.000727503
0.200538	0.0674201	0.0597278	0.0834545	0.129394	-0.0598764	-0.0552217	-0.000603856	-0.000571107	-0.000721369	-0.000790386	-0.00073363	-0.0533384	0.210279	0.0615579	0.113118	0.0645482	0.0904398	-0.000927125	-0.000927844	-0.000765104	-0.000718272	-0.000761615
0.20344	0.0687078	0.0606911	0.084535	0.131262	-0.0603884	-0.055181	-0.000803804	-0.000761764	-0.000745507	-0.000730554	-0.00101211	-0.0538513	0.213615	0.0625565	0.114685	0.0658254	0.091955	-0.000788833	-0.00104666	-0.000950096	-0.000888224	-0.000879925
