lap3_47_samp	lap3_48_samp	lap3_49_samp	lap3_50_samp	cur3_47_samp	cur3_48_samp	cur3_49_samp	cur3_50_samp	rp2
0.141748	0.152942	0.149383	0.0892861	-0.00122691	-0.00144372	-0.00135111	-0.00134436	-0.0558206
0.143443	0.154765	0.151147	0.090548	-0.0012539	-0.00119797	-0.00134323	-0.00147274	-0.055572
0.145192	0.156588	0.15291	0.0918098	-0.00151932	-0.00141075	-0.00120677	-0.00124367	-0.0558572
0.146942	0.158395	0.154674	0.0930717	-0.00117496	-0.00132219	-0.00131873	-0.0014751	-0.0567814
0.148693	0.160184	0.156437	0.0943335	-0.00136437	-0.00135707	-0.00122296	-0.00131726	-0.0575244
0.150443	0.161973	0.1582	0.0955953	-0.00141907	-0.00143647	-0.00126606	-0.00135713	-0.0578319
0.152193	0.163762	0.159964	0.0968571	-0.00143473	-0.00131371	-0.00140951	-0.00159643	-0.0583019
0.153943	0.165551	0.161792	0.0981189	-0.00140404	-0.00158878	-0.00130605	-0.00137407	-0.0589778
0.155693	0.167341	0.16372	0.0993807	-0.00128492	-0.00136707	-0.00132654	-0.00123557	-0.0594099
0.157443	0.16913	0.165648	0.100643	-0.00125914	-0.00147831	-0.00140445	-0.00143811	-0.0596391
0.159193	0.170919	0.167576	0.101904	-0.00135212	-0.00136841	-0.00152985	-0.00136004	-0.0599208
0.160943	0.172708	0.169504	0.103166	-0.00135876	-0.00129855	-0.00137508	-0.00140409	-0.0604177
0.162694	0.174497	0.171432	0.104428	-0.00135465	-0.00132472	-0.00137105	-0.00138374	-0.0607679
0.164444	0.176287	0.17336	0.10569	-0.00136588	-0.00142552	-0.00129834	-0.00133878	-0.0606485
0.166194	0.178076	0.175288	0.106952	-0.00136569	-0.00133221	-0.00144308	-0.00148252	-0.0606607
0.167944	0.179865	0.177216	0.108213	-0.00139553	-0.00133588	-0.0011975	-0.00135728	-0.0609185
0.169694	0.181654	0.179144	0.109475	-0.00149967	-0.00122925	-0.00136948	-0.00144444	-0.0611557
0.171444	0.183444	0.181071	0.110737	-0.00120906	-0.0014093	-0.00142556	-0.00140099	-0.0612036
0.173195	0.185233	0.182999	0.111999	-0.001553	-0.00110718	-0.00132179	-0.00132176	-0.0616987
0.17495	0.187022	0.184927	0.113261	-0.00146432	-0.0012827	-0.00135113	-0.00130222	-0.0612996
0.176727	0.188811	0.186855	0.114558	-0.00137378	-0.00123301	-0.00135762	-0.00128083	-0.0612654
0.178504	0.190597	0.188783	0.115903	-0.00130426	-0.00141859	-0.00132855	-0.00142814	-0.061272
0.180282	0.192379	0.190711	0.117248	-0.00153608	-0.00123481	-0.00133216	-0.00145777	-0.060685
0.182059	0.194162	0.192743	0.118593	-0.00134208	-0.00143444	-0.0012004	-0.00143414	-0.0597366
0.183836	0.195944	0.194794	0.119938	-0.0013744	-0.00136264	-0.00123431	-0.00130451	-0.0594698
0.185614	0.197727	0.196846	0.121283	-0.00146312	-0.0012728	-0.00138854	-0.00119263	-0.0595267
0.187391	0.199509	0.198897	0.122628	-0.0014992	-0.00126435	-0.00133437	-0.00154718	-0.0593485
0.189168	0.201292	0.200949	0.123973	-0.00147126	-0.0012962	-0.00129674	-0.00124814	-0.0591488
0.190945	0.203075	0.203	0.125318	-0.00141591	-0.00148556	-0.0012652	-0.00130056	-0.059164
0.192723	0.204857	0.205052	0.126663	-0.00128344	-0.00138952	-0.00138171	-0.00152071	-0.0592069
0.1945	0.20664	0.207104	0.128008	-0.00141844	-0.00141403	-0.00143343	-0.00145044	-0.059021
0.196278	0.208422	0.209155	0.129353	-0.00135567	-0.00149393	-0.00140849	-0.00134648	-0.0586431
