lap3_21_samp	lap3_22_samp	lap3_23_samp	lap3_24_samp	lap3_25_samp	lap3_26_samp	rp315	rp2840	cur3_21_samp	cur3_22_samp	cur3_23_samp	cur3_24_samp	cur3_25_samp	cur3_26_samp
0.012502	0.0412479	0.0227787	0.0129787	0.0230195	0.0181633	-0.0605409	-0.0575765	-0.000964053	-0.0010911	-0.0011453	-0.000887216	-0.00109939	-0.00103872
0.0137199	0.0452879	0.0250378	0.0142702	0.0253214	0.0199474	-0.0606958	-0.0580391	-0.00112013	-0.00118176	-0.00128317	-0.00120117	-0.00118881	-0.00121146
0.0149377	0.0493281	0.027297	0.0155618	0.0276169	0.0217314	-0.0606426	-0.0590076	-0.00116285	-0.000942657	-0.00102437	-0.00112203	-0.00108542	-0.00128699
0.0161556	0.0533684	0.0295562	0.0168534	0.0299107	0.0235155	-0.060637	-0.0592425	-0.0011716	-0.00100907	-0.00114145	-0.00114944	-0.00114734	-0.00105965
0.0173735	0.0574085	0.0318155	0.0181449	0.0322044	0.0252995	-0.0608827	-0.0588179	-0.000931991	-0.00131843	-0.00114066	-0.00113594	-0.000848722	-0.00103
0.0185913	0.0613656	0.0340747	0.0194365	0.0344982	0.0270835	-0.061333	-0.0583757	-0.00101496	-0.0012226	-0.00100452	-0.000999125	-0.00105118	-0.00130631
0.0198092	0.0652226	0.0363339	0.0207282	0.0367919	0.0288675	-0.061695	-0.0582575	-0.00116031	-0.00124215	-0.000915798	-0.0011374	-0.00114888	-0.000970956
0.021027	0.0690796	0.0385931	0.0220198	0.0390856	0.0306515	-0.0618251	-0.0584006	-0.00110892	-0.00117441	-0.00120909	-0.00111022	-0.00109072	-0.00103195
0.0222448	0.0729366	0.0408505	0.0233114	0.0413794	0.0324356	-0.0618517	-0.0585855	-0.00115952	-0.00112822	-0.00107559	-0.00123747	-0.00117658	-0.00106515
0.0234628	0.0767937	0.0429595	0.024603	0.0436731	0.0342194	-0.0619588	-0.0586267	-0.00105955	-0.00108418	-0.00100981	-0.00106229	-0.00136101	-0.000957853
0.0246806	0.0806506	0.0450265	0.0258946	0.0459669	0.0360033	-0.0622076	-0.0584195	-0.00102177	-0.00103499	-0.00111234	-0.000884265	-0.00107016	-0.00119308
0.0258984	0.0845076	0.0470936	0.0271862	0.0482605	0.0377874	-0.0625069	-0.0579415	-0.00114437	-0.00100827	-0.000901866	-0.00112029	-0.00117568	-0.00118898
0.0271164	0.0883646	0.0491607	0.0284778	0.0505543	0.0395715	-0.0626998	-0.0572428	-0.00091774	-0.000867945	-0.000978852	-0.000946566	-0.00118426	-0.00113414
0.0283343	0.0922256	0.0512277	0.0297693	0.0528481	0.0413554	-0.0626886	-0.0564467	-0.00111375	-0.000971779	-0.000992065	-0.00104066	-0.000957228	-0.00112229
0.0295522	0.096101	0.0532946	0.031061	0.0551419	0.0431394	-0.0625175	-0.0557129	-0.00106287	-0.00100427	-0.00114164	-0.000949505	-0.00114319	-0.00097058
0.03077	0.0999765	0.0553616	0.0324244	0.0574366	0.0449009	-0.0623465	-0.0551662	-0.0010815	-0.000994404	-0.0010737	-0.000901211	-0.00112121	-0.00112214
0.0319878	0.103852	0.0574286	0.0338281	0.0597451	0.0466102	-0.0623262	-0.054847	-0.00104134	-0.00114636	-0.00128978	-0.00113088	-0.00101335	-0.00110881
0.0332058	0.107728	0.0594957	0.035232	0.0620553	0.0483193	-0.0624795	-0.0546972	-0.00114307	-0.00101046	-0.000928303	-0.00104041	-0.00101225	-0.00118745
0.0344237	0.111603	0.0615626	0.0366358	0.0643654	0.0500284	-0.0627001	-0.054588	-0.00108161	-0.00104529	-0.00108719	-0.00104678	-0.00105829	-0.00102225
0.0356415	0.115479	0.0636297	0.0380396	0.0666757	0.0517376	-0.0628458	-0.0543824	-0.00105958	-0.000880066	-0.00128903	-0.00108291	-0.00114988	-0.00097451
0.0368595	0.119354	0.0656968	0.0394434	0.0689858	0.0534467	-0.0628402	-0.0540102	-0.00126127	-0.00127998	-0.00114806	-0.00106267	-0.00111278	-0.00102263
0.0380773	0.123229	0.0677639	0.0408471	0.071296	0.0551558	-0.0627239	-0.0534992	-0.00133867	-0.00115853	-0.000967119	-0.00109502	-0.00106813	-0.000987435
0.0392947	0.127034	0.0698311	0.0422509	0.0736063	0.0568649	-0.0626007	-0.0529724	-0.0011152	-0.00132578	-0.0014064	-0.00106971	-0.00108225	-0.00119261
0.0403838	0.130816	0.0718982	0.0436548	0.0759166	0.058574	-0.0625483	-0.052574	-0.0012643	-0.00103253	-0.00117985	-0.000911272	-0.00127148	-0.00115119
0.0414231	0.134598	0.0739653	0.0450586	0.0782268	0.060283	-0.0625751	-0.0523824	-0.00115821	-0.00110892	-0.00117387	-0.00107883	-0.00122892	-0.00104229
