lap2_5_samp	lap2_6_samp	lap2_7_samp	lap2_8_samp	lap2_9_samp	rp1728	cur2_5_samp	cur2_6_samp	cur2_7_samp	cur2_8_samp	cur2_9_samp	rp3655	lap2_29_samp	lap2_30_samp	lap2_31_samp	lap2_32_samp	lap2_33_samp	cur2_29_samp	cur2_30_samp	cur2_31_samp	cur2_32_samp	cur2_33_samp
0.123343	0.0922761	0.116135	0.0956773	0.0842815	-0.0626101	-0.000407862	-0.000538065	-0.000799602	-0.000566989	-0.000367716	-0.0570218	0.119752	0.123577	0.0955456	0.118183	0.113427	-0.000580777	-0.000780262	-0.000556868	-0.000490091	-0.000679518
0.127653	0.0953522	0.119721	0.0986814	0.0868837	-0.062694	-0.000555222	-0.000691893	-0.000580253	-0.000472887	-0.000664299	-0.056867	0.123731	0.127671	0.0985221	0.12171	0.117037	-0.000454941	-0.000809322	-0.0008491	-0.000665264	-0.000517453
0.131993	0.0984465	0.123308	0.101685	0.0894859	-0.0627154	-0.000552393	-0.000888481	-0.000925211	-0.000493408	-0.000614816	-0.0562384	0.127711	0.131764	0.101499	0.125238	0.120649	-0.000730309	-0.000247192	-0.000743283	-0.000609759	-0.000574252
0.136486	0.101542	0.126895	0.104688	0.0920881	-0.0626751	-0.000668498	-0.000691354	-0.000426789	-0.000497625	-0.000561247	-0.0554064	0.13169	0.135857	0.104475	0.128766	0.124271	-0.000477512	-0.000533823	-0.000493758	-0.000595912	-0.000660316
0.140983	0.104637	0.130481	0.107692	0.0946904	-0.0622142	-0.000732301	-0.000566492	-0.000422049	-0.000811469	-0.000381696	-0.0553989	0.13567	0.139951	0.107452	0.132293	0.127939	-0.00069307	-0.000664208	-0.000741338	-0.000549609	-0.000612856
0.14548	0.107733	0.134067	0.110695	0.0972926	-0.0617399	-0.000803632	-0.000671297	-0.00045068	-0.000701971	-0.000432093	-0.0552556	0.139649	0.144044	0.110429	0.135821	0.131608	-0.000602564	-0.00042209	-0.000542958	-0.000452302	-0.000457442
0.149977	0.110828	0.137624	0.113699	0.0998948	-0.0611859	-0.000513199	-0.000547243	-0.00065105	-0.000664415	-0.000777893	-0.0547542	0.143628	0.148138	0.113405	0.139348	0.135276	-0.000749564	-0.000394032	-0.000764568	-0.000511304	-0.000544728
0.154474	0.113924	0.141177	0.116702	0.102493	-0.0604961	-0.000465959	-0.000644491	-0.00067472	-0.000571285	-0.000605914	-0.0541458	0.147628	0.152225	0.116379	0.142876	0.138945	-0.000425728	-0.000593611	-0.000834306	-0.000831664	-0.000606559
0.158971	0.117019	0.14473	0.119706	0.104859	-0.0601543	-0.000841828	-0.000512056	-0.000521809	-0.000545035	-0.000528594	-0.0541104	0.151684	0.156212	0.119316	0.146403	0.142613	-0.000888795	-0.000603206	-0.000504596	-0.000581015	-0.000815468
0.163517	0.120115	0.148283	0.122709	0.107173	-0.0604363	-0.000935989	-0.000442902	-0.000669511	-0.000609688	-0.000629917	-0.0544112	0.155741	0.160188	0.12225	0.149908	0.146282	-0.000583911	-0.000434131	-0.000469211	-0.000734608	-0.0004345
0.168179	0.12321	0.151836	0.125715	0.109486	-0.0600083	-0.000769841	-0.000637818	-0.000785747	-0.000586522	-0.000428922	-0.0540455	0.159797	0.164163	0.125184	0.153295	0.149951	-0.000723433	-0.000659027	-0.000412358	-0.000541081	-0.000823387
0.172841	0.126306	0.155389	0.1288	0.111799	-0.0595693	-0.000535473	-0.000833372	-0.000600047	-0.000610451	-0.00072557	-0.0539278	0.163854	0.168138	0.128117	0.156678	0.153619	-0.000510201	-0.000582948	-0.000879729	-0.000523584	-0.000561397
0.177503	0.129366	0.158942	0.1319	0.114113	-0.0592145	-0.00030555	-0.000480997	-0.000725364	-0.000525794	-0.000519855	-0.0541102	0.16791	0.172114	0.131051	0.160061	0.157279	-0.000686677	-0.000797648	-0.000771102	-0.000704439	-0.000611469
0.182165	0.132387	0.162495	0.134999	0.116426	-0.0587013	-0.000635106	-0.000723108	-0.000343254	-0.000652107	-0.000545043	-0.0542474	0.171967	0.176089	0.133985	0.163444	0.160748	-0.000532	-0.00065116	-0.000683431	-0.000751469	-0.000530844
0.186828	0.135408	0.166047	0.138098	0.118739	-0.0578448	-0.000616146	-0.000533026	-0.000584539	-0.000555992	-0.000364137	-0.054146	0.176023	0.180064	0.136918	0.166827	0.16419	-0.000383341	-0.000633929	-0.000661722	-0.000620347	-0.00054174
0.19149	0.138429	0.169565	0.141197	0.121053	-0.0576878	-0.000638159	-0.000746593	-0.000695168	-0.000460511	-0.000498582	-0.0542838	0.180082	0.184039	0.139852	0.170209	0.167631	-0.00070933	-0.000490752	-0.000791221	-0.000619045	-0.000753227
0.196249	0.141449	0.173073	0.144297	0.123366	-0.056584	-0.000662004	-0.000745197	-0.0006687	-0.000685285	-0.000647866	-0.0544292	0.184144	0.187937	0.142786	0.173592	0.171073	-0.000707546	-0.000670562	-0.000484434	-0.000504226	-0.00047424
