lap2_17_samp	lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	lap2_23_samp	cur2_17_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	cur2_23_samp	rp24332
0.0767023	0.132269	0.151754	0.133409	0.184852	0.148303	0.0794562	-0.000595886	-0.000441151	-0.000326784	-0.000312655	-0.000770675	-0.000749125	-0.000784201	-0.0610174
0.0778561	0.134768	0.154579	0.135915	0.188193	0.151095	0.0806862	-4.52887e-05	-0.000288555	-0.000495889	-0.000714593	-0.001028	-0.000830553	-0.000768983	-0.0606653
0.07901	0.137267	0.157404	0.13841	0.191533	0.153886	0.0819161	-0.0003914	-0.000589093	-0.000735711	-0.000801035	-0.0005273	-0.000686911	-0.000467781	-0.0610731
0.0801638	0.139765	0.160229	0.140905	0.194873	0.156678	0.083146	-0.000548355	-0.000701089	-0.000435941	-0.000547204	-0.000533467	-0.00103129	-0.00070087	-0.0612985
0.0813175	0.142264	0.163045	0.1434	0.198213	0.15947	0.0843758	-0.000871621	-0.000582266	-0.000843878	-0.000611579	-0.000522761	-0.000872829	-0.000566994	-0.0611964
0.0824713	0.144763	0.16581	0.145894	0.201554	0.162261	0.0856057	-0.000481195	-0.00068321	-0.000402907	-0.000420177	-0.000694908	-0.000665185	-0.000473657	-0.0608823
0.0836252	0.147261	0.168574	0.148389	0.204894	0.165052	0.0868356	-0.000899641	-0.000629441	-0.000619642	-0.00085377	-0.000534068	-0.00083365	-0.000663881	-0.0606435
0.0847792	0.14976	0.171339	0.150884	0.208205	0.167844	0.0880654	-0.000403781	-0.000539741	-0.000892631	-0.000805453	-0.000714904	-0.000433982	-0.000640517	-0.0605889
0.0859329	0.152258	0.174103	0.153379	0.211485	0.170635	0.0892952	-0.000561273	-0.000713075	-0.000882729	-0.000717607	-0.000680266	-0.000708558	-0.00062294	-0.0608325
0.0870868	0.154757	0.176868	0.155874	0.214765	0.173427	0.090525	-0.000576365	-0.000999765	-0.000932623	-0.000513585	-0.000314772	-0.000519829	-0.000502386	-0.0608125
0.0882405	0.157256	0.179632	0.158369	0.218045	0.176217	0.091755	-0.000564378	-0.000362716	-0.000956516	-0.000852551	-0.000581174	-0.000797544	-0.000774578	-0.0605837
