lap6_3_samp	lap6_4_samp	lap6_5_samp	cur6_3_samp	cur6_4_samp	cur6_5_samp	rp621
0.298158	0.266199	0.28998	0.0516197	0.0516515	0.0517603	-0.0542649
0.303085	0.269864	0.294415	0.0516381	0.0516784	0.0517505	-0.0540028
0.308097	0.27353	0.298849	0.0518909	0.0518594	0.0517449	-0.0537472
0.313109	0.277196	0.303283	0.0516177	0.0518878	0.05175	-0.0534904
0.318121	0.280862	0.307718	0.051597	0.0516663	0.0517357	-0.0531675
0.323133	0.284527	0.312152	0.0518199	0.0516137	0.0516894	-0.0527978
0.328146	0.288193	0.316586	0.0515582	0.0516813	0.0516632	-0.0524175
0.33317	0.291859	0.321014	0.0517515	0.0518686	0.051793	-0.0520342
0.338242	0.295471	0.325422	0.0515448	0.0518777	0.0517212	-0.0516588
0.343315	0.299008	0.32983	0.0517765	0.0516802	0.0517169	-0.0512998
0.348387	0.302544	0.334237	0.0517359	0.0517624	0.0518475	-0.050979
0.35346	0.30608	0.338645	0.051984	0.0517233	0.0517556	-0.0507398
0.358533	0.309617	0.343052	0.0515444	0.0517972	0.0517304	-0.0505924
0.363607	0.313153	0.347459	0.0517913	0.0516486	0.0517072	-0.0504947
0.368712	0.316689	0.351865	0.0516006	0.0517109	0.0517726	-0.0504189
0.37382	0.320226	0.356226	0.0517086	0.0518048	0.051944	-0.0503392
0.378928	0.323762	0.360578	0.0518374	0.0516502	0.0518543	-0.0502053
0.384037	0.327284	0.36493	0.051755	0.0516693	0.0516176	-0.0499912
0.389146	0.330728	0.369283	0.0517009	0.051783	0.05171	-0.0497254
0.394254	0.334168	0.373635	0.051866	0.0517014	0.0517362	-0.0494523
0.399317	0.337609	0.377987	0.0516951	0.0516819	0.0517192	-0.049327
0.404344	0.341049	0.382339	0.0517473	0.0516419	0.051638	-0.0494029
0.409372	0.34449	0.386653	0.0518817	0.0516584	0.0517128	-0.0495011
0.4144	0.34793	0.390879	0.0516508	0.051536	0.0517642	-0.0495083
0.419428	0.351371	0.395105	0.0518527	0.0517769	0.0517581	-0.0494258
0.424456	0.354812	0.399331	0.0516901	0.0517036	0.0515863	-0.0494103
0.429481	0.358252	0.403557	0.0517675	0.0517049	0.0516777	-0.0495893
0.434496	0.361656	0.407782	0.0516945	0.0516766	0.0516988	-0.0499992
0.439511	0.365043	0.412008	0.051686	0.0516313	0.0516466	-0.0504877
0.444527	0.36843	0.416234	0.051599	0.0518092	0.051737	-0.0508935
0.449542	0.371817	0.420429	0.0515938	0.0518674	0.0518806	-0.0510884
0.454557	0.375204	0.424606	0.0518913	0.0518835	0.051681	-0.0511709
0.459572	0.37859	0.428783	0.0517008	0.0515921	0.0516724	-0.0503305
0.464491	0.381977	0.432961	0.0517474	0.0517415	0.0517212	
0.469351	0.385364	0.437138	0.0518518	0.0516714	0.0517478	
0.474211	0.388751	0.441315	0.0515744	0.0517288	0.0518476	
0.479071	0.392137	0.445493	0.0515982	0.0515905	0.051641	
0.48393	0.395518	0.449669	0.0516893	0.0516086	0.0516962	
0.48879	0.398899	0.453821	0.0515774	0.0516824	0.0518221	
0.493649	0.40228	0.45797	0.0516278	0.051829	0.0517602	
0.49836	0.405661	0.46212	0.0517853	0.051689	0.0517847	
0.503025	0.409042	0.466269	0.0518128	0.0517781	0.0517969	
0.507689	0.412422	0.470418	0.0516174	0.0516725	0.051753	
0.512354	0.415803	0.474568	0.0518	0.0518768	0.0517328	
0.517018	0.419184	0.478717	0.0517465	0.051425	0.051743	
0.521683	0.422566	0.482884	0.0518501	0.0517878	0.0517201	
0.526348	0.425915	0.487086	0.0518364	0.0517034	0.0518001	
0.53103	0.429247	0.491287	0.0517417	0.051765	0.0517977	
0.535714	0.432578	0.495489	0.0518744	0.0518002	0.0517163	
0.540397	0.435909	0.49969	0.0514903	0.0517984	0.0516738	
0.545081	0.439241	0.503892	0.0516401	0.0519031	0.051608	
0.549765	0.442572	0.508094	0.0518053	0.0518161	0.0516778	
0.554448	0.445903	0.512296	0.0516227	0.0518477	0.0517005	
0.559127	0.449235	0.516434	0.0515178	0.0517611	0.0517436	
0.563761	0.452566	0.520507	0.0516973	0.0517173	0.0518053	
0.568393	0.455907	0.52458	0.0518824	0.0518621	0.0519271	
0.573024	0.459287	0.528653	0.0517762	0.0516822	0.0517986	
0.577656	0.462668	0.532727	0.0516904	0.0518202	0.0518673	
0.582287	0.466049	0.5368	0.0516129	0.0515183	0.0515651	
0.586919	0.46943	0.540873	0.0516487	0.051705	0.0517449	
0.591543	0.472811	0.544946	0.0516472	0.0516718	0.0516187	
0.596096	0.476192	0.549041	0.0516101	0.0517416	0.0518804	
0.600644	0.479573	0.553145	0.0517628	0.0519581	0.0519468	
0.605192	0.482954	0.55725	0.051675	0.0517239	0.0517546	
0.609739	0.486349	0.561354	0.0517602	0.051851	0.0516276	
0.614287	0.489854	0.565459	0.0518548	0.0515955	0.0518217	
0.618835	0.493364	0.569563	0.0516564	0.0516889	0.0517138	
0.623382	0.496874	0.573668	0.0518072	0.0514802	0.0517123	
0.62793	0.500385	0.577772	0.0516942	0.0517524	0.0515138	
0.632412	0.503895	0.581842	0.0516011	0.0518598	0.0516327	
0.636031	0.507405	0.585905	0.0517756	0.0517462	0.0518162	
0.639573	0.510915	0.589967	0.0516866	0.0515568	0.0517443	
0.643114	0.514426	0.59403	0.0517041	0.0515673	0.0517461	
0.646656	0.517946	0.598092	0.0516604	0.051762	0.051518	
0.650197	0.521519	0.602155	0.0517598	0.0518756	0.0516668	
