lap4_11_samp	lap4_12_samp	lap4_13_samp	lap4_14_samp	lap4_15_samp	lap4_16_samp	rp711	rp1727	cur4_12_samp	cur4_13_samp	cur4_14_samp	cur4_15_samp	cur4_16_samp
0.271698	0.263024	0.263579	0.273854	0.310441	0.311427	-0.0624193	-0.0543452	-0.000804801	-0.0011349	-0.000968496	-0.000848426	-0.00105714
0.274584	0.266127	0.266262	0.277037	0.313803	0.3147	-0.061148	-0.0547446	-0.000885558	-0.000856357	-0.000846847	-0.000786858	-0.000747101
0.277469	0.269231	0.268945	0.280217	0.317166	0.31798	-0.0609615	-0.0551788	-0.000868014	-0.00105241	-0.00093482	-0.00102035	-0.00100797
0.280355	0.272334	0.271628	0.283369	0.320528	0.321271	-0.060876	-0.05557	-0.000917692	-0.000907025	-0.000835112	-0.00114385	-0.000892918
0.28324	0.275446	0.274311	0.28652	0.323889	0.324562	-0.0611573	-0.0555857	-0.000827643	-0.00114917	-0.000881259	-0.000941504	-0.0010095
0.286126	0.278558	0.276993	0.28967	0.327227	0.327853	-0.0623481	-0.0543495	-0.00103617	-0.000946931	-0.000807767	-0.000848375	-0.000932338
0.289021	0.281671	0.279676	0.292821	0.330558	0.331145	-0.0624875	-0.0535981	-0.000912067	-0.000845591	-0.000796402	-0.000763849	-0.00101875
0.29194	0.284783	0.282383	0.295972	0.333889	0.334436			-0.000953297	-0.00101762	-0.000991921	-0.000964071	-0.000958746
0.294859	0.287895	0.285121	0.299122	0.33722	0.337727			-0.000785684	-0.000967698	-0.000886137	-0.000894817	-0.000893776
0.297778	0.291008	0.287859	0.302273	0.34055	0.341018			-0.000902309	-0.00103011	-0.00102816	-0.000917926	-0.000963752
0.300697	0.29412	0.290597	0.305424	0.343881	0.34431			-0.000858024	-0.000883034	-0.000796783	-0.000987179	-0.000583124
0.303616	0.297232	0.293335	0.308574	0.347212	0.347602			-0.000833102	-0.000921266	-0.000979227	-0.000857476	-0.00106785
0.306536	0.300344	0.296073	0.311725	0.350543	0.350934			-0.000733227	-0.000978696	-0.000952651	-0.000850124	-0.00076727
0.309454	0.303457	0.298811	0.314818	0.353874	0.354275			-0.000912233	-0.00103283	-0.0010008	-0.000849697	-0.000954271
0.312373	0.306567	0.301549	0.317876	0.3572	0.357615			-0.000895491	-0.00065855	-0.000746402	-0.000886164	-0.00100997
0.315293	0.309677	0.304287	0.320934	0.360492	0.360956			-0.0010311	-0.000912458	-0.000897956	-0.000892616	-0.000956288
0.318212	0.312788	0.307025	0.323991	0.363784	0.364297			-0.000845034	-0.000758968	-0.000899137	-0.000852948	-0.00101921
0.321155	0.315898	0.309763	0.327049	0.367075	0.367638			-0.000872698	-0.00112888	-0.000700643	-0.000732766	-0.00114631
0.324119	0.319008	0.312502	0.330107	0.370366	0.370978			-0.000940485	-0.000710094	-0.000911649	-0.000995597	-0.000774692
0.327084	0.322118	0.315266	0.333165	0.373657	0.374319			-0.00103996	-0.000969138	-0.000845923	-0.000814493	-0.00108138
0.330049	0.325228	0.318034	0.336223	0.376949	0.37766			-0.000952403	-0.000848836	-0.000971372	-0.000979362	-0.0010004
0.333013	0.328338	0.320803	0.339281	0.38024	0.381011			-0.000961791	-0.0008738	-0.000982117	-0.0010137	-0.000873001
0.335978	0.331448	0.323571	0.342339	0.383531	0.384382			-0.00090229	-0.000609022	-0.000826953	-0.000797022	-0.000805246
0.338943	0.334559	0.32634	0.345396	0.386822	0.387752			-0.000874758	-0.000817578	-0.000657841	-0.000972135	-0.000895319
0.341907	0.337657	0.329109	0.348358	0.3901	0.391122			-0.000947896	-0.000903202	-0.000878096	-0.000959702	-0.000905016
0.344872	0.340734	0.331877	0.351263	0.393309	0.394493			-0.00102572	-0.00100007	-0.000868916	-0.000840925	-0.000750769
0.347837	0.343811	0.334646	0.354168	0.396516	0.397863			-0.00108979	-0.000656443	-0.000786409	-0.000712336	-0.000678117
0.350801	0.346887	0.337414	0.357074	0.399722	0.401233			-0.000784297	-0.000891206	-0.00101712	-0.000838233	-0.000935339
0.353774	0.349964	0.340183	0.359979	0.402929	0.404604			-0.000904088	-0.000864817	-0.000709519	-0.000670847	-0.00102107
0.35675	0.35304	0.342951	0.362885	0.406136	0.407974			-0.000938921	-0.000948192	-0.00108105	-0.000735979	-0.000859002
